"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.374132250E0,-3.595125973E-1,-1.633270979E-1,2.014996856E-1
3.384196250E0,-5.083262324E-1,-9.713211656E-2,9.646734595E-2
3.394259250E0,-6.593471766E-1,3.815354407E-2,4.644226283E-2
3.404323250E0,-7.809317112E-1,2.461514622E-1,4.261310026E-2
3.414387250E0,-8.748097420E-1,4.598304331E-1,1.507574879E-2
3.424450250E0,-9.579030275E-1,6.090942621E-1,-3.567318618E-2
3.434514250E0,-1.024569511E0,6.731824279E-1,-8.730202913E-2
3.444577250E0,-1.079855204E0,6.617821455E-1,-1.229981929E-1
3.454641250E0,-1.122230887E0,5.904637575E-1,-1.397739649E-1
3.464705250E0,-1.177436352E0,4.666967094E-1,-1.236638278E-1
3.474768250E0,-1.317117572E0,3.292408288E-1,-7.585476339E-2
3.484832250E0,-1.582147241E0,2.126836032E-1,-3.977579065E-3
3.494896250E0,-1.907578349E0,1.813504398E-1,9.651148319E-2
3.504959250E0,-2.200440884E0,2.421537042E-1,2.152838856E-1
3.515023250E0,-2.410357952E0,2.553161085E-1,3.123680949E-1
3.525086250E0,-2.526750565E0,1.226752251E-1,3.239219785E-1
3.535150250E0,-2.671550274E0,1.446343064E-1,2.144237310E-1
3.545214250E0,-2.890417337E0,-9.656055272E-2,6.889418699E-3
3.555277250E0,-3.191554070E0,-4.889717698E-1,-3.031392694E-1
3.565341250E0,-3.552124739E0,-8.263633251E-1,-5.562981963E-1
3.575404250E0,-3.866645575E0,-1.080453396E0,-6.204620004E-1
3.585468250E0,-3.935384989E0,-1.189948440E0,-4.674214125E-1
3.595532250E0,-3.653918982E0,-1.047921538E0,-2.019194365E-1
3.605595250E0,-3.208885431E0,-7.832911015E-1,6.320863217E-2
3.615659250E0,-2.759677172E0,-6.440996528E-1,3.918893337E-1
3.625723250E0,-2.297680378E0,-5.723916292E-1,6.698974967E-1
3.635786250E0,-2.173117399E0,-5.338572860E-1,7.848067284E-1
3.645850250E0,-2.668500423E0,-2.043181062E-1,7.395986319E-1
3.655913250E0,-3.310837507E0,7.107965350E-1,4.230177999E-1
3.665977250E0,-3.472329617E0,1.725377440E0,-1.783052087E-1
3.676041250E0,-2.933049440E0,2.206025124E0,-7.237467170E-1
3.686104250E0,-2.073946714E0,2.386650324E0,-9.552577138E-1
3.696168250E0,-1.553808093E0,2.582495689E0,-1.051939487E0
3.706231250E0,-1.567053676E0,2.524843216E0,-1.116115451E0
3.716295250E0,-1.726461411E0,1.888654590E0,-1.045692205E0
3.726359250E0,-2.049366474E0,5.437878370E-1,-8.707178235E-1
3.736422250E0,-2.499591589E0,-6.989566088E-1,-6.608207822E-1
3.746486250E0,-2.634002447E0,-1.261412024E0,-3.495407104E-1
3.756549250E0,-2.596170664E0,-1.325311899E0,1.039239541E-1
3.766613250E0,-2.747241259E0,-1.105908036E0,5.099144578E-1
3.776677250E0,-2.814852953E0,-1.088814974E0,7.064320445E-1
3.786740250E0,-2.551961184E0,-1.189416766E0,8.038646579E-1
3.796804250E0,-2.300840855E0,-1.011463881E0,8.998692036E-1
3.806867250E0,-2.301474094E0,-5.680719018E-1,9.785426855E-1
3.816931250E0,-2.310482740E0,-3.750803471E-1,1.068672895E0
3.826995250E0,-2.329281092E0,-4.254734218E-1,1.092763424E0
3.837058250E0,-2.341775179E0,-4.736204445E-1,1.012953520E0
3.847122250E0,-2.310214043E0,-5.164185166E-1,8.853653669E-1
3.857186250E0,-2.196161747E0,-6.145506501E-1,7.308245301E-1
