"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.096055958E0,-6.745927334E-1,7.373415679E-2,6.918425858E-2
2.106119958E0,-5.693563223E-1,-6.790153682E-2,-4.985843785E-3
2.116182958E0,-4.998794794E-1,-1.661264300E-1,-8.350031078E-2
2.126246958E0,-5.803612471E-1,-1.837448478E-1,-1.185435206E-1
2.136310958E0,-8.008631468E-1,-1.423922926E-1,-1.024802029E-1
2.146373958E0,-1.109551430E0,-8.668242395E-2,-2.392414585E-2
2.156437958E0,-1.393390656E0,-4.608201236E-2,8.867001534E-2
2.166500958E0,-1.586677551E0,-6.507913768E-2,2.088803202E-1
2.176564958E0,-1.709892154E0,-9.007723629E-2,3.116877079E-1
2.186628958E0,-1.803411126E0,-5.897923559E-2,3.882189691E-1
2.196691958E0,-1.901690006E0,-6.460990757E-3,4.300205112E-1
2.206755958E0,-2.043003321E0,-7.660385966E-2,4.365093112E-1
2.216818958E0,-2.274151325E0,-3.389054239E-1,3.629727960E-1
2.226882958E0,-2.711332560E0,-6.251768470E-1,2.061059326E-1
2.236946958E0,-3.214768648E0,-8.467189074E-1,-2.977534197E-3
2.247009958E0,-3.545250177E0,-7.804975510E-1,-1.863662750E-1
2.257073958E0,-3.541345596E0,-4.224666059E-1,-2.214976251E-1
2.267137958E0,-3.228650093E0,-3.251605630E-1,-5.686207861E-2
2.277200958E0,-2.752984762E0,-5.322936177E-1,2.156978548E-1
2.287264958E0,-2.416443110E0,-7.419382334E-1,4.503761232E-1
2.297327958E0,-2.558366537E0,-7.149737477E-1,5.151156783E-1
2.307391958E0,-3.029604197E0,-2.901916206E-1,4.817177355E-1
2.317455958E0,-3.383606672E0,5.228915215E-1,2.158923149E-1
2.327518958E0,-3.405757904E0,8.922175765E-1,-2.947552502E-1
2.337582958E0,-2.894260168E0,1.042756557E0,-6.999927759E-1
2.347645958E0,-2.109378338E0,1.629796863E0,-8.444791436E-1
2.357709958E0,-1.720662951E0,1.947136521E0,-8.101381660E-1
2.367773958E0,-2.081293106E0,1.532716155E0,-6.714146733E-1
2.377836958E0,-2.671646595E0,9.515878558E-1,-5.335345864E-1
2.387900958E0,-2.848588228E0,7.253946662E-1,-4.954273999E-1
2.397963958E0,-2.600482464E0,2.409775406E-1,-4.737700224E-1
2.408027958E0,-2.543114901E0,-5.419590473E-1,-3.119528890E-1
2.418091958E0,-2.757727861E0,-7.730996609E-1,-6.001474336E-2
2.428154958E0,-2.849555969E0,-6.866230965E-1,3.553470373E-1
2.438218958E0,-2.764966726E0,-9.858341813E-1,7.398395538E-1
2.448281958E0,-2.694348335E0,-1.357205033E0,9.492936730E-1
2.458345958E0,-2.724267721E0,-1.116809845E0,1.111384153E0
2.468409958E0,-2.781821728E0,-6.552433372E-1,1.209557295E0
2.478472958E0,-2.847759962E0,-4.330992103E-1,1.294336915E0
2.488536958E0,-2.803147793E0,-4.312291145E-1,1.342699409E0
2.498599958E0,-2.687063932E0,-4.486321211E-1,1.340973139E0
2.508663958E0,-2.654044390E0,-4.121121764E-1,1.277638674E0
2.518727958E0,-2.614632845E0,-5.943729877E-1,1.207892060E0
