"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.880947833E0,-2.840193787E0,-8.384813690E0,-7.146139526E-1
1.891010833E0,-2.968027954E0,-8.478967896E0,-5.125341797E-1
1.901074833E0,-2.751578064E0,-8.457712097E0,-4.656816101E-1
1.911137833E0,-2.394271088E0,-8.374485168E0,-8.137078857E-1
1.921201833E0,-2.117047577E0,-8.270152130E0,-1.493893433E0
1.931265833E0,-1.875000916E0,-8.039631500E0,-2.222877502E0
1.941328833E0,-1.741628265E0,-7.851772156E0,-2.463576965E0
1.951392833E0,-1.851948853E0,-7.808961182E0,-2.111359406E0
1.961454958E0,-2.368374939E0,-7.973020020E0,-1.366957397E0
1.971518958E0,-3.228037262E0,-8.240364075E0,-7.234455872E-1
1.981582958E0,-4.015998688E0,-8.551267548E0,-5.544470215E-1
1.991645958E0,-4.506828003E0,-8.834029541E0,-5.923182678E-1
2.001709958E0,-4.769082642E0,-9.157357178E0,-3.787124634E-1
2.011772958E0,-4.843927002E0,-9.645043030E0,8.053253174E-2
2.021836958E0,-4.670737152E0,-1.003992188E1,2.604583740E-1
2.031900958E0,-4.223467255E0,-1.030187714E1,2.615061951E-1
2.041963958E0,-3.503614197E0,-1.039543259E1,6.545887756E-1
2.052027958E0,-2.689457245E0,-1.025652145E1,1.430724792E0
2.062090958E0,-1.971550140E0,-9.936936035E0,2.220033417E0
2.072154958E0,-1.423689423E0,-9.590256958E0,2.748434601E0
2.082218958E0,-1.100960541E0,-9.372160492E0,2.883004761E0
2.092281958E0,-9.735754395E-1,-9.318721619E0,2.525548096E0
2.102345958E0,-1.155746613E0,-9.503587189E0,1.764979706E0
2.112408958E0,-1.706750793E0,-9.783954163E0,7.966433716E-1
2.122472958E0,-2.212548981E0,-9.834399261E0,-2.933898926E-2
2.132536958E0,-2.426154785E0,-9.665849762E0,-4.414320374E-1
2.142599958E0,-2.589165802E0,-9.413474579E0,-6.075865173E-1
2.152663958E0,-2.774031372E0,-9.071286163E0,-5.887257385E-1
2.162726958E0,-2.958747253E0,-8.629255371E0,-4.369413757E-1
2.172790958E0,-2.982398071E0,-8.173752594E0,-2.392025757E-1
2.182854958E0,-2.813549194E0,-7.745792542E0,-1.814227295E-1
2.192917958E0,-2.560575256E0,-7.399712219E0,-3.155438232E-1
2.202981958E0,-2.364333344E0,-7.241191864E0,-4.272116089E-1
2.213044958E0,-2.207908630E0,-7.293283539E0,-2.709365845E-1
2.223108958E0,-2.043101349E0,-7.645351410E0,-2.770738220E-1
2.233172958E0,-1.817221069E0,-8.293503571E0,-1.322499847E0
2.243235958E0,-1.424886932E0,-9.026828613E0,-2.941233673E0
2.253299958E0,-1.046324158E0,-9.220076752E0,-4.569547577E0
2.263363958E0,-9.307644653E-1,-8.705596619E0,-5.214556274E0
2.273426958E0,-1.399739227E0,-7.733667755E0,-3.875740356E0
2.283490958E0,-2.226170654E0,-6.702162781E0,-2.020198975E0
2.293553958E0,-3.168161774E0,-6.015390930E0,-9.493258667E-1
2.303617958E0,-4.484973450E0,-5.679788818E0,-7.122189331E-1
2.313681958E0,-5.197342072E0,-4.991819458E0,-9.858499146E-1
2.323744958E0,-5.260211334E0,-4.593647461E0,-2.722089386E0
2.333808958E0,-4.103267212E0,-4.570894775E0,-4.932243347E0
2.343871958E0,-1.618135071E0,-4.957241364E0,-7.249125366E0
2.353935958E0,5.532495117E-1,-5.783822479E0,-7.695946198E0
2.363999958E0,1.696122894E0,-6.855144653E0,-4.936135254E0
2.374062958E0,2.321672058E0,-8.084687805E0,-2.450104980E0
2.384126958E0,2.772833862E0,-9.443562012E0,-3.285368042E0
2.394189958E0,3.016527100E0,-1.073926758E1,-4.850213928E0
2.404253958E0,2.882705383E0,-1.104583008E1,-4.463118896E0
2.414317958E0,2.323917389E0,-9.413923645E0,-3.702400818E0
2.424380958E0,1.869761810E0,-6.900051270E0,-5.699697418E0
2.434444958E0,1.652862854E0,-3.673660583E0,-7.812104645E0
2.444507958E0,-3.022215271E-1,-2.567161560E-1,-7.274722137E0
2.454571958E0,-3.626957703E0,2.466421051E0,-6.033353577E0
2.464635958E0,-5.146747284E0,1.716480560E0,-7.769892426E0
2.474698958E0,-5.518424377E0,-1.605411530E0,-8.835825806E0
2.484762958E0,-5.564378815E0,-4.676874390E0,-9.138047333E0
2.494825958E0,-5.009632416E0,-7.022646332E0,-9.871821442E0
2.504889958E0,-4.281696167E0,-8.208480377E0,-1.009126511E1
2.514953958E0,-3.630250854E0,-8.177345123E0,-1.016925293E1
2.525016958E0,-3.268902283E0,-6.450685730E0,-1.003872437E1
2.535080958E0,-3.281625824E0,-4.482877808E0,-1.053015244E1
2.545144958E0,-3.538940735E0,-3.134781189E0,-1.030636780E1
2.555207958E0,-3.998036041E0,-2.931653595E0,-1.085677322E1
2.565271958E0,-3.790268097E0,-3.294499054E0,-1.202060303E1
2.575334958E0,-2.707719269E0,-3.637585602E0,-1.183349213E1
2.585398958E0,-1.838776245E0,-3.639232178E0,-1.170775360E1
2.595462958E0,-1.660646667E0,-3.431464233E0,-1.188199127E1
2.605525958E0,-2.310595093E0,-2.950364685E0,-1.143696671E1
2.615589958E0,-3.450175323E0,-1.890119476E0,-1.028795609E1
2.625653958E0,-4.193080444E0,-1.416953430E0,-9.402397614E0
2.635716958E0,-4.310137024E0,-1.570234680E0,-1.107202560E1
2.645780958E0,-4.623435516E0,-1.877545624E0,-1.151794830E1
2.655843958E0,-5.032983856E0,-1.975292358E0,-1.159818146E1
2.665907958E0,-4.988226929E0,-1.879940643E0,-1.263462616E1
2.675971958E0,-4.764741669E0,-1.589993591E0,-1.262669266E1
2.686034958E0,-4.452640686E0,-1.140178986E0,-1.172526718E1
2.696098958E0,-4.074676666E0,-9.228309631E-1,-1.120644608E1
2.706162958E0,-3.790567474E0,-1.039139099E0,-1.164488434E1
2.716225958E0,-3.792812805E0,-1.362766113E0,-1.193483139E1
2.726289958E0,-3.988605652E0,-1.748963013E0,-1.257340347E1
2.736353958E0,-4.233346710E0,-2.060016174E0,-1.281634827E1
2.746416958E0,-4.576732635E0,-2.154619446E0,-1.277009445E1
2.756480958E0,-5.031786346E0,-2.166594543E0,-1.280137939E1
2.766543958E0,-5.263504486E0,-2.167342987E0,-1.282353333E1
2.776607958E0,-5.085973663E0,-2.149829407E0,-1.292517197E1
2.786671958E0,-4.900808716E0,-2.201621704E0,-1.298609528E1
