"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.170806375E0,-1.357571915E1,4.704716492E-1,9.771679688E0
1.180763375E0,-1.262354919E1,4.799020386E-1,9.346114655E0
1.190720375E0,-1.162138321E1,6.686595154E-1,8.770262146E0
1.200677375E0,-1.063897614E1,6.339317322E-1,8.467741241E0
1.210634375E0,-9.709109802E0,4.572990417E-1,8.647517395E0
1.220591375E0,-8.863967285E0,2.963836670E-1,8.796607361E0
1.230548375E0,-8.171507263E0,3.758683777E-1,8.683442688E0
1.240505375E0,-7.752528534E0,6.167175293E-1,8.367300110E0
1.250462375E0,-7.386988678E0,7.945477295E-1,8.045469360E0
1.260419375E0,-7.067552948E0,7.685018921E-1,7.571554871E0
1.270376167E0,-6.798712006E0,5.361849976E-1,7.115603027E0
1.280333167E0,-6.694229279E0,2.264790344E-1,6.826254730E0
1.290290167E0,-6.819518738E0,7.110214233E-2,6.638245697E0
1.300247167E0,-7.030879211E0,2.817141724E-1,6.557114410E0
1.310204167E0,-7.242539063E0,5.792953491E-1,6.673572235E0
1.320161167E0,-7.406148834E0,5.584886169E-1,6.788832550E0
1.330118167E0,-7.471113739E0,2.158511353E-1,6.803801422E0
1.340075167E0,-7.423213348E0,-1.588197327E-1,6.864575043E0
1.350032167E0,-7.318131866E0,-3.429368591E-1,6.962321777E0
1.359989167E0,-7.151528320E0,-4.870870972E-1,6.892417145E0
1.369946167E0,-7.087311859E0,-7.589218140E-1,6.573879547E0
1.379903167E0,-7.049739990E0,-1.034049683E0,6.251749420E0
1.389860167E0,-6.904392242E0,-1.187929688E0,5.995033264E0
1.399817167E0,-6.656807098E0,-1.197360077E0,5.768703918E0
1.409774167E0,-6.294111328E0,-1.127754822E0,5.564079437E0
1.419731167E0,-5.918841705E0,-1.048120422E0,5.363346863E0
1.429688167E0,-5.591921539E0,-1.026265869E0,5.231321411E0
1.439645167E0,-5.339396667E0,-1.012494507E0,5.032684479E0
1.449602167E0,-5.079387360E0,-9.590556335E-1,4.741988983E0
1.459559167E0,-4.829556885E0,-9.857002258E-1,4.458927612E0
1.469516167E0,-4.491410065E0,-1.056053925E0,4.208049316E0
1.479473167E0,-4.151916046E0,-1.109193420E0,3.937861176E0
1.489430167E0,-3.869752808E0,-1.138831787E0,3.706891479E0
1.499387167E0,-3.572620697E0,-1.130000153E0,3.491339722E0
1.509344167E0,-3.314108276E0,-1.060694275E0,3.373684387E0
1.519301167E0,-2.918031921E0,-9.433383179E-1,3.321443024E0
1.529258167E0,-2.596500549E0,-8.238867188E-1,3.224594421E0
1.539215167E0,-2.428849182E0,-7.655081177E-1,3.206781464E0
1.549172167E0,-2.503543854E0,-6.709048462E-1,3.246448975E0
1.559130167E0,-3.036585388E0,-5.686674500E-1,3.238665161E0
1.569087167E0,-3.634142761E0,-3.833528137E-1,3.267255707E0
1.579044167E0,-4.026327209E0,-9.744735718E-2,3.401975555E0
1.589001167E0,-4.201163635E0,2.409988403E-1,3.506458282E0
1.598958167E0,-4.263883209E0,4.805007935E-1,3.330124969E0
1.608915167E0,-4.117188263E0,6.206094360E-1,3.035387878E0
1.618872167E0,-3.822750549E0,5.807922363E-1,2.922073517E0
1.628829167E0,-3.419189758E0,3.076103210E-1,3.050057373E0
1.638786167E0,-3.029699707E0,-8.457412720E-2,3.276237030E0
1.648743167E0,-2.819686432E0,-4.846920776E-1,3.397335205E0
1.658700167E0,-2.734962616E0,-8.750802612E-1,3.454815674E0
1.668657167E0,-2.783012695E0,-1.290466461E0,3.534899139E0
1.678614167E0,-2.935695190E0,-1.618733826E0,3.617227936E0
1.688571167E0,-3.230881348E0,-1.761387177E0,3.683390350E0
1.698528167E0,-3.497476959E0,-1.600322113E0,3.728296967E0
1.708485167E0,-3.753594360E0,-1.284029846E0,3.839066620E0
1.718442167E0,-3.900139618E0,-1.002315674E0,4.061054993E0
1.728399167E0,-4.071682892E0,-7.911048889E-1,4.409530334E0
1.738356167E0,-4.437971191E0,-7.105723572E-1,4.960085449E0
