"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.196942375E0,-3.787015080E-1,1.105845124E-1,-2.547380924E-1
1.206899375E0,-4.256135225E-1,1.064382717E-1,-2.816027999E-1
1.216856375E0,-4.600809515E-1,6.571028382E-2,-3.283181190E-1
1.226813375E0,-4.814198911E-1,-5.661626812E-3,-3.802272379E-1
1.236770375E0,-4.943905473E-1,-6.557715684E-2,-4.331711531E-1
1.246727375E0,-5.015817285E-1,-7.931990921E-2,-4.864532053E-1
1.256684375E0,-5.191361904E-1,-6.730372459E-2,-5.268619061E-1
1.266641167E0,-5.339965224E-1,-2.143890597E-2,-5.628342032E-1
1.276598167E0,-5.460563898E-1,2.920509502E-2,-6.087948084E-1
1.286555167E0,-5.735768080E-1,3.648815677E-2,-6.511663795E-1
1.296512167E0,-6.280573606E-1,5.064179003E-2,-6.685879230E-1
1.306469167E0,-6.566305757E-1,4.066041857E-2,-6.672003269E-1
1.316427167E0,-6.662597656E-1,-5.881250836E-3,-6.607469320E-1
1.326383167E0,-6.771555543E-1,-5.952716991E-2,-6.587314606E-1
1.336341167E0,-6.933723092E-1,-7.098834962E-2,-6.579378247E-1
1.346298167E0,-6.869778633E-1,-5.177745596E-2,-6.515356898E-1
1.356255167E0,-6.593643427E-1,-4.652943090E-2,-6.421326399E-1
1.366212167E0,-6.366832852E-1,-6.167720631E-2,-6.275157928E-1
1.376169167E0,-6.259342432E-1,-9.817104042E-2,-6.136952639E-1
1.386126167E0,-6.172578931E-1,-1.234780475E-1,-6.010869741E-1
1.396083167E0,-6.224814057E-1,-1.202678755E-1,-5.844107866E-1
1.406040167E0,-6.226367354E-1,-1.009951979E-1,-5.651049018E-1
1.415997167E0,-5.993313789E-1,-1.036820635E-1,-5.380871296E-1
1.425954167E0,-5.571896434E-1,-1.257074326E-1,-5.148918629E-1
1.435911167E0,-5.132688284E-1,-1.523813754E-1,-4.814484119E-1
