"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.029666308E0,-4.700340703E-2,3.925383687E-1,3.027924895E-1
2.039630839E0,-3.635107726E-2,4.617785215E-1,2.484655976E-1
2.049595318E0,-1.717688330E-2,3.403419554E-1,2.015953511E-1
2.059485839E0,7.123745978E-2,1.486000121E-1,1.600512564E-1
2.069445006E0,1.980001926E-1,4.207670316E-2,9.187635034E-2
2.079404120E0,2.768274248E-1,6.764229387E-2,2.689713426E-2
2.089305474E0,2.374138087E-1,7.722939551E-2,-2.210358530E-2
2.099264641E0,7.017222792E-2,7.616416365E-2,-6.684337556E-2
2.109223756E0,-1.758965999E-1,2.396774292E-2,-7.536523789E-2
2.119103235E0,-6.360772848E-1,-1.954702586E-1,-3.701684624E-2
2.129062401E0,-1.152715325E0,-6.609770656E-1,-7.536523789E-2
2.139021516E0,-1.046191931E0,-8.708279729E-1,-9.773512930E-2
2.148915058E0,-6.232944727E-1,-8.101097345E-1,3.123795986E-1
2.158874224E0,-5.465977192E-1,-1.109440207E0,4.403406978E-1
2.168833339E0,-6.456643939E-1,-1.133940578E0,-3.488638252E-2
2.178744953E0,-5.018579364E-1,-4.159734845E-1,-1.861494780E-1
2.188704120E0,-2.440715134E-1,3.307548463E-1,3.541899845E-2
2.198663235E0,-7.043853402E-2,1.475347728E-1,1.515294015E-1
2.208549172E0,-5.765573680E-2,-2.636451721E-1,-2.636451647E-2
2.218508339E0,-1.930734888E-2,5.326165119E-4,-2.681724131E-1
2.228467453E0,3.503285050E-1,2.924064696E-1,-4.247616827E-1
2.238372558E0,7.668346167E-1,3.073197305E-1,-5.536548495E-1
2.248331724E0,9.042496681E-1,2.817541361E-1,-6.292864084E-1
2.258290839E0,8.616403341E-1,3.488638103E-1,-6.559172273E-1
2.268189589E0,7.817478776E-1,4.319519997E-1,-5.621767044E-1
2.278148756E0,6.816160083E-1,4.042559266E-1,-3.885437548E-1
2.288107870E0,5.580489635E-1,3.009283245E-1,-2.543243766E-1
2.297992401E0,4.323514402E-1,2.114487588E-1,-1.797580719E-1
2.307951568E0,3.109148741E-1,1.603175700E-1,-1.414096802E-1
2.317910683E0,1.756303012E-1,1.027949899E-1,-1.243659556E-1
2.327824068E0,4.567186534E-2,4.207670316E-2,-1.137136221E-1
2.337783235E0,-3.848154470E-2,1.225017942E-2,-9.666989744E-2
2.347742349E0,-9.067796171E-2,-4.793548491E-3,-8.282186836E-2
2.357641881E0,-1.641790420E-1,-7.989247330E-3,-9.134373069E-2
2.367601047E0,-2.760285139E-1,-1.970681176E-2,-5.406057462E-2
2.377560162E0,-4.081174135E-1,1.970681176E-2,9.507204592E-2
2.387430735E0,-4.944012761E-1,1.219691783E-1,2.282261699E-1
2.397389901E0,-5.295539498E-1,1.816222370E-1,3.070534170E-1
2.407349016E0,-5.423367620E-1,1.240996495E-1,4.105141759E-1
2.417268287E0,-4.848141670E-1,-4.420717061E-2,4.967980385E-1
2.427227453E0,-3.655080795E-1,-1.762960702E-1,5.234288573E-1
2.437186568E0,-2.472672164E-1,-1.901440918E-1,5.117112994E-1
2.447081620E0,-1.609833390E-1,-1.422086060E-1,5.010589957E-1
2.457040787E0,-1.077216864E-1,-9.001219273E-2,4.712324440E-1
2.466999901E0,-7.256899774E-2,-5.059856921E-2,4.167724252E-1
2.476908026E0,-6.085143611E-2,5.326165119E-4,3.464670479E-1
2.486867193E0,-7.682993263E-2,6.444659829E-2,2.708354890E-1
2.496826308E0,-9.706936032E-2,1.422086060E-1,2.026605755E-1
2.506684693E0,-1.098521575E-1,1.826874614E-1,1.579207927E-1
2.516643860E0,-9.600412846E-2,1.560566425E-1,1.312899739E-1
2.526602974E0,-4.061200842E-2,1.123820841E-1,1.142462417E-1
2.536507714E0,1.478010789E-2,1.123820841E-1,1.206376404E-1
2.546466881E0,-2.569874749E-2,2.561885417E-1,1.568555683E-1
2.556425995E0,-2.408758104E-1,5.203663111E-1,2.101172209E-1
2.566332506E0,-6.296858788E-1,6.471290588E-1,1.941387206E-1
2.576287506E0,-9.844084978E-1,2.892107666E-1,9.853405878E-3
2.586242401E0,-8.927984238E-1,-3.994623944E-2,-7.749570161E-2
2.596158443E0,-6.147726178E-1,1.432738453E-1,3.230319023E-1
2.606113391E0,-5.391410589E-1,-1.805569977E-1,5.447335243E-1
2.616068339E0,-3.442034125E-1,-9.539161921E-1,1.579207927E-1
2.625952506E0,-4.487293959E-2,-8.111749291E-1,-1.158440933E-1
2.635907506E0,1.042596847E-1,1.762960702E-1,-1.520620137E-1
2.645862453E0,1.276948154E-1,8.133054376E-1,-2.692376375E-1
2.655765474E0,2.278267145E-1,4.181039631E-1,-2.830856740E-1
2.665720474E0,2.725664973E-1,-1.240996495E-1,-7.216953486E-2
2.675675422E0,2.693707943E-1,-1.549914032E-1,-1.062569916E-1
2.685569849E0,4.398080707E-1,-5.059856921E-2,-2.862813771E-1
2.695524745E0,7.306166887E-1,3.781577200E-2,-3.693695366E-1
2.705479693E0,8.829450011E-1,1.581871063E-1,-4.801537991E-1
2.715418443E0,8.456618786E-1,2.572537661E-1,-5.632419586E-1
2.725373391E0,7.455299497E-1,3.030588031E-1,-5.504591465E-1
2.735328339E0,6.326152682E-1,2.721670270E-1,-5.206326246E-1
2.745237297E0,5.058525205E-1,1.912093312E-1,-5.099803209E-1
2.755192245E0,4.025249183E-1,1.166430190E-1,-4.822842479E-1
