"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.950513599E0,-3.154338360E0,8.327022791E-1,-4.088735580E0
1.960478131E0,-3.116053343E0,5.928218365E-1,-3.657429457E0
1.970350891E0,-2.426322222E0,6.101697683E-2,-1.731805444E0
1.980315370E0,-1.233500123E0,-1.064806059E-1,3.170489892E-2
1.990279901E0,-3.661018610E-1,7.118647546E-2,4.863412082E-1
2.000169120E0,2.518445849E-1,2.243271172E-1,7.118647099E-1
2.010133599E0,8.362914920E-1,1.190429255E-1,9.176474810E-1
2.020098131E0,1.353739381E0,-1.351944804E-1,8.315058947E-1
2.029966308E0,1.674975872E0,-2.787638307E-1,5.730810165E-1
2.039930839E0,1.540379524E0,-4.175475538E-1,6.113662124E-1
2.049895318E0,1.056431174E0,-6.478567123E-1,8.506484628E-1
2.059785839E0,7.070791125E-1,-1.012163997E0,8.458628058E-1
2.069745006E0,4.671986103E-1,-1.917249203E0,1.800599098E-1
2.079704120E0,3.714857101E-1,-3.929612875E0,-6.155536175E-1
2.089605474E0,3.954139352E-1,-7.125227451E0,-1.530210137E0
2.099564641E0,2.757728100E-1,-1.152802086E1,-3.518645763E0
2.109523756E0,3.649054468E-2,-1.808674812E1,-3.978665829E0
2.119403235E0,3.858426511E-1,-2.605424881E1,-2.287538528E0
2.129362401E0,9.224331379E-1,-2.741038132E1,-2.153540403E-2
2.139321516E0,-1.109073281E0,-1.916471481E1,8.219345808E-1
2.149215058E0,-1.195214868E0,-1.271605778E1,1.032503009E0
2.159174224E0,-1.316052526E-1,-1.579203129E1,-3.900300860E-1
2.169133339E0,-4.208376884E0,-2.376431847E1,-3.072982550E0
2.179044953E0,-9.354142189E0,-3.123830032E1,-4.865206718E0
2.189004120E0,-1.201316643E1,-3.306342697E1,-3.120838881E0
2.198963235E0,-1.021196842E1,-2.811446953E1,-1.698305845E0
2.208849172E0,-5.324628353E0,-2.396052933E1,-2.359323025E0
2.218808339E0,-1.693520188E0,-2.260499573E1,-4.378865361E-1
2.228767453E0,5.635097623E-1,-2.163709831E1,8.889335990E-1
2.238672558E0,1.114457130E0,-2.050649071E1,9.870393574E-2
2.248631724E0,1.513460279E-1,-1.907378769E1,-1.080359459E0
2.258590839E0,-1.827518344E0,-1.694178200E1,-1.578066587E0
2.268489589E0,-2.938984394E0,-1.421097374E1,-1.310070395E0
2.278448756E0,-2.359323025E0,-1.163809109E1,-8.356932998E-1
2.288407870E0,-1.247856975E0,-9.602396965E0,-6.251249313E-1
2.298292401E0,-3.996013701E-1,-7.968697548E0,-5.485545993E-1
2.308251568E0,-4.067798331E-2,-6.459424496E0,-4.187439680E-1
2.318210683E0,1.752742529E-1,-4.940580368E0,-5.000999570E-1
2.328124068E0,4.959124923E-1,-3.273381472E0,-7.686942816E-1
2.338083235E0,1.032503009E0,-1.677966833E0,-1.133001566E0
2.348042349E0,1.722832322E0,-5.760720372E-1,-1.549352646E0
2.357941881E0,1.578664780E0,2.751746029E-2,-1.889731646E0
2.367901047E0,-2.129612118E-1,6.652047038E-1,-2.752344131E0
2.377860162E0,-1.746162295E0,9.044869542E-1,-3.763311863E0
2.387730735E0,-2.052443504E0,6.795616150E-1,-4.246662140E0
2.397689901E0,-2.268395901E0,4.636093974E-1,-3.921238184E0
2.407649016E0,-2.249253273E0,2.147558331E-1,-2.431107759E0
2.417568287E0,-1.621735573E0,-1.016949639E-1,-8.165507317E-1
2.427527453E0,-5.964110494E-1,-4.031906128E-1,2.231307179E-1
2.437486568E0,4.606183618E-2,-5.330012441E-1,9.942178130E-1
2.447381620E0,3.523431420E-1,-6.478567123E-1,1.411167145E0
2.457340787E0,3.332005441E-1,-7.914260626E-1,1.583450437E0
2.467299901E0,3.170489892E-2,-8.249256015E-1,1.358525038E0
2.477208026E0,-2.177468538E-1,-6.861419082E-1,9.367900491E-1
2.487167193E0,-3.086741269E-1,-4.558327198E-1,5.970092416E-1
2.497126308E0,-3.756731451E-1,-2.500499785E-1,4.241278172E-1
2.506984693E0,-3.086741269E-1,-5.042873621E-1,2.183450609E-1
2.516943860E0,-2.632104978E-2,-1.423729420E0,-5.246263742E-1
2.526902974E0,3.236292601E-1,-3.057429075E0,-2.450250387E0
2.536807714E0,4.671986103E-1,-5.592026711E0,-4.634897232E0
2.546766881E0,3.810569942E-1,-1.011505985E1,-6.541976929E0
2.556725995E0,5.054838061E-1,-1.779482460E1,-6.311667919E0
2.566632506E0,1.348953724E0,-2.686900520E1,-1.319641709E0
2.576587506E0,1.320239902E0,-2.658126831E1,5.014159679E0
2.586542401E0,-9.792626500E-1,-1.573938942E1,4.918447018E0
2.596458443E0,-6.969096065E-1,-8.577073097E0,1.966900229E0
2.606413391E0,9.367900491E-1,-8.854640007E0,2.709871531E-1
2.616368339E0,-2.445464849E0,-1.462792301E1,-2.397608280E0
2.626252506E0,-6.541976929E0,-2.420998192E1,-3.284149170E0
2.636207506E0,-8.300103188E0,-3.302992630E1,-3.533002615E0
2.646162453E0,-1.009172916E1,-3.525764465E1,-2.996412039E0
2.656065474E0,-1.079162979E1,-3.142015457E1,-4.007379532E0
