"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.221250958E0,1.023512363E0,-2.710552216E-1,1.168027759E0
1.231207958E0,1.105494499E0,-3.176434934E-1,1.243748665E0
1.241164958E0,1.162729502E0,-1.836534292E-1,1.330478430E0
1.251121958E0,1.260009408E0,-8.021918684E-2,1.365152001E0
1.261078958E0,1.349016786E0,-1.132628098E-1,1.357625246E0
1.271036958E0,1.375996232E0,-1.175829917E-1,1.453791499E0
1.280993958E0,1.361148596E0,-2.624237835E-1,1.593376994E0
1.290950958E0,1.330443978E0,-2.508805692E-1,1.684684753E0
1.300907958E0,1.252777338E0,-1.714183390E-1,1.748816967E0
1.310864958E0,1.169691563E0,-1.260995865E-1,1.821334839E0
1.320821958E0,1.106586576E0,-1.091916338E-1,1.860701919E0
1.330778958E0,1.072914362E0,-5.971622840E-2,1.868239522E0
1.340735958E0,1.070099473E0,5.105331540E-3,1.853705525E0
1.350693958E0,1.098776579E0,5.848466977E-2,1.844028950E0
1.360650958E0,1.122511506E0,5.142351612E-2,1.840077519E0
1.370607958E0,1.139171124E0,1.001002416E-1,1.847954869E0
1.380564958E0,1.174635887E0,1.213987768E-1,1.858126163E0
1.390521958E0,1.240296125E0,1.801824719E-1,1.855863810E0
1.400478958E0,1.317490935E0,2.333742976E-1,1.839713931E0
1.410435958E0,1.344737411E0,3.118483424E-1,1.840435386E0
1.420392958E0,1.322468281E0,3.264179230E-1,1.840183139E0
1.430349958E0,1.325440884E0,2.457097620E-1,1.852485299E0
1.440307958E0,1.326899648E0,2.126139402E-1,1.853374720E0
1.450264958E0,1.311249495E0,1.124441996E-1,1.829123139E0
1.460221958E0,1.301187634E0,-1.063333824E-2,1.757484555E0
1.470178958E0,1.306194186E0,-5.696595088E-2,1.692893386E0
1.480135958E0,1.349960208E0,-8.842344582E-2,1.609501004E0
1.490092958E0,1.431727171E0,-1.696637124E-1,1.502654195E0
1.500049958E0,1.514436841E0,-2.601922750E-1,1.408275366E0
1.510006958E0,1.517392516E0,-3.738173544E-1,1.352727413E0
1.519963958E0,1.472041726E0,-5.268675685E-1,1.323042393E0
1.529921958E0,1.412214398E0,-6.447497606E-1,1.286716580E0
1.539878958E0,1.345317006E0,-7.229106426E-1,1.250777125E0
1.549835958E0,1.282306314E0,-7.849625349E-1,1.191842794E0
1.559792958E0,1.217180729E0,-7.654618025E-1,1.100013375E0
