X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
-2.31328949,-10.4297113,-1.510359192,-1.938316345,0.03424527124,-0.04102332145,1,Jumping
-2.834954681,-10.61367874,-1.270557861,-1.260077715,-0.3444091082,0.01533955242,1,Jumping
-3.020269318,-10.23481659,0.1606159973,-0.6551360488,-0.7402612567,0.0297877565,1,Jumping
-2.724634094,-9.222771149,1.726809082,-0.2197012007,-0.9971089959,0.05082672834,1,Jumping
-1.92948761,-7.982600098,2.7590625,0.04900534824,-1.225948572,0.1026305407,1,Jumping
-1.145867157,-7.583529968,3.187022552,0.1669692695,-1.47521162,0.2044280171,1,Jumping
-0.8740324402,-8.904682617,2.196382599,0.2592905462,-1.591464639,0.3207516074,1,Jumping
-1.309027863,-11.87136337,-0.7845185852,0.6384852529,-1.404304624,0.3600851893,1,Jumping
-2.126328278,-16.37130569,-6.065836029,1.396303058,-1.063082099,0.2018818855,1,Jumping
-2.748883667,-21.83150116,-9.097631378,2.104522228,-0.6224092245,-0.1604579389,1,Jumping
-2.596201172,-26.34701111,-5.792354736,2.385594845,-0.2069600672,-0.5813603997,1,Jumping
-1.548978882,-28.9150708,-1.095721436,2.123573542,0.1909447014,-0.8330978155,1,Jumping
-0.26210495,-29.8480806,-0.1047821045,1.467934489,0.2038888037,-0.7990460396,1,Jumping
1.236279144,-28.4731897,-1.125060425,0.9641751051,-0.3348660171,-0.4784712493,1,Jumping
2.263592834,-23.17495743,-1.638043671,0.9070469141,-0.9288486838,-0.2120283842,1,Jumping
1.467099152,-17.31868561,-1.713935852,1.034302354,-1.29726696,-0.1477425992,1,Jumping
0.144150238,-13.36810089,-1.428329773,1.146772385,-1.470008612,-0.1843035817,1,Jumping
-0.7216493225,-10.19020935,-1.173709259,1.152140021,-1.505971432,-0.2272925824,1,Jumping
-1.157991943,-7.313940582,-1.167871399,1.015671015,-1.398126125,-0.2047206163,1,Jumping
-1.400188293,-4.785249023,-1.454674988,0.8014151454,-1.154801965,-0.1472956836,1,Jumping
-1.478924561,-2.662363586,-1.666484528,0.5954716206,-0.8442480564,-0.06212458014,1,Jumping
-1.356778564,-1.033899994,-1.586550751,0.4432157576,-0.4755972922,0.03719002008,1,Jumping
-1.232836304,0.126486969,-1.388662262,0.3534872532,-0.1294975579,0.1115350723,1,Jumping
-1.049467621,0.8711883545,-0.6891668701,0.3379817903,0.1087616235,0.149504289,1,Jumping
-0.8295748901,1.369951172,0.2077679443,0.3675092459,0.1992097944,0.166980803,1,Jumping
-0.6732998657,1.904190216,0.8111631775,0.3180799186,0.1292208582,0.1889500171,1,Jumping
-0.549357605,2.589914246,0.8442443848,0.07701669633,-0.1177191883,0.1886448264,1,Jumping
-0.4291575623,3.099005585,0.5339396667,-0.3418482244,-0.5142183304,0.1366071701,1,Jumping
-0.3391946411,3.35108139,0.02664459229,-0.7363128662,-0.907646358,0.02742417902,1,Jumping
-0.3222798157,3.122806091,-0.6354286194,-0.8853572011,-1.059610486,-0.1212949902,1,Jumping
-0.4068539429,1.75869278,-1.524280243,-0.8282774091,-0.8998824954,-0.1910369247,1,Jumping
-0.4978646851,-0.6280938721,-2.100881195,-0.7598714232,-0.5784618258,-0.2110396624,1,Jumping
-0.6429130554,-2.033820648,-1.889221344,-0.7270453572,-0.284510076,-0.2557348311,1,Jumping
-0.6521937561,-2.730771332,-1.162183228,-0.7105489373,-0.1708394289,-0.3175598681,1,Jumping
-0.4710704041,-2.869682465,-0.1513352966,-0.6679504514,-0.2877318561,-0.3559774756,1,Jumping
-0.2589614868,-2.570005646,0.8723858643,-0.6179229617,-0.5459067225,-0.3408277929,1,Jumping
-0.233664093,-2.297721863,1.55152359,-0.6684947014,-0.8307594657,-0.2666876018,1,Jumping
