,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
132,-3.79221405,0.3718267822,9.160051575,0.3253054321,0.4576226473,-0.1211690828,1,Pushups
133,-3.694167938,0.913250885,9.321565704,0.4350471199,0.6149251461,-0.07797580212,1,Pushups
134,-3.682492218,1.526525574,9.660910034,0.5068182945,0.8228811622,0.02505764924,1,Pushups
135,-3.653751984,1.996398468,9.899364166,0.5255559683,1.103030801,0.1001276374,1,Pushups
136,-3.803590393,1.773961029,9.771679688,0.4695127308,1.372371793,0.1434017271,1,Pushups
137,-4.092639313,1.028361511,9.387428741,0.3808230758,1.581935883,0.1557931453,1,Pushups
138,-4.338577881,0.5905220032,9.232351227,0.3078358471,1.712080956,0.1019533053,1,Pushups
139,-4.707859955,0.29368927,9.168583832,0.2653121054,1.715991855,-0.02047327347,1,Pushups
140,-5.281467133,0.1899549866,9.268575897,0.1823972762,1.45084691,-0.210392341,1,Pushups
141,-6.143075409,0.5054988098,10.06312363,0.05566943437,0.9744133353,-0.3833385408,1,Pushups
142,-7.274871826,1.164129181,11.46256348,-0.05172545835,0.4431066811,-0.4319435358,1,Pushups
143,-8.038733368,2.171234894,12.18720657,-0.1064193249,-0.02266234159,-0.3360793293,1,Pushups
144,-8.229436798,3.326233063,11.89441544,-0.1790293306,-0.401565671,-0.2025773227,1,Pushups
145,-8.053552551,4.134552155,11.18788467,-0.3235559165,-0.6388224363,-0.1177247539,1,Pushups
146,-7.660769348,4.070036316,10.24739044,-0.5040236712,-0.6150074601,-0.05313871801,1,Pushups
147,-7.009024658,3.168311462,9.004375305,-0.6396214366,-0.3560858369,0.003910984844,1,Pushups
148,-6.410120087,2.133513336,7.747588806,-0.6969484091,-0.03579714149,0.01333056297,1,Pushups
149,-6.125112762,1.343755646,7.04390213,-0.6619816422,0.1982683539,-0.03108990006,1,Pushups
150,-6.152805176,0.8945397949,7.010222168,-0.5502439737,0.2681990564,-0.07895141095,1,Pushups
151,-6.218817902,0.880019989,7.526797943,-0.4281124771,0.1715345681,-0.1150164679,1,Pushups
152,-6.156397705,1.082997894,8.378077698,-0.3442848921,-0.00907928776,-0.133530587,1,Pushups
153,-5.987997894,1.341510315,9.171577606,-0.3393878639,-0.1657258868,-0.1439416856,1,Pushups
154,-5.745352478,1.494492188,9.668095093,-0.4052241743,-0.2245018631,-0.1530887634,1,Pushups
155,-5.483546906,1.413959656,9.637259216,-0.4689152539,-0.1750762612,-0.1677760929,1,Pushups
156,-5.193749542,1.13613739,9.067244568,-0.5142132044,-0.108557187,-0.1820237935,1,Pushups
157,-4.893773346,0.8713380432,8.415350189,-0.5326084495,-0.0646706894,-0.2012616694,1,Pushups
158,-4.727618866,0.6637197876,8.093070374,-0.5323022008,-0.02765962854,-0.2261646539,1,Pushups
159,-4.763244781,0.4632865906,8.047415314,-0.5147035122,0.03001751378,-0.2531701624,1,Pushups
160,-4.999303894,0.3240760803,8.190517731,-0.4921843708,0.1094846874,-0.2807234228,1,Pushups
161,-5.361849976,0.2707868958,8.396938477,-0.4692803919,0.1629902571,-0.30047369,1,Pushups
162,-5.693709869,0.2996768188,8.55920105,-0.449472338,0.1988982707,-0.3068745732,1,Pushups
163,-5.944887543,0.4125421143,8.549920349,-0.438498795,0.2207724154,-0.2939957976,1,Pushups
164,-6.104605408,0.5545967102,8.365503845,-0.4393131733,0.2157236338,-0.2764545679,1,Pushups
165,-6.178551636,0.6948550415,8.147557068,-0.4502134919,0.1697207242,-0.258431077,1,Pushups
166,-6.153703308,0.8080197144,8.026907959,-0.4762777984,0.1315895021,-0.2363462448,1,Pushups
167,-6.008505249,0.8217910767,7.936196594,-0.5007743835,0.1388103962,-0.2299621105,1,Pushups
168,-5.808072052,0.7044351196,7.816295929,-0.514516592,0.1884176731,-0.2444181293,1,Pushups
169,-5.631888428,0.493074646,7.757468262,-0.5036916733,0.2652091384,-0.2682560682,1,Pushups
170,-5.468428345,0.2891986084,7.820636902,-0.4730256796,0.3660513759,-0.2838341594,1,Pushups
171,-5.387596436,0.07679031372,8.011040955,-0.4387340248,0.4826858044,-0.2872658968,1,Pushups
172,-5.490582275,-0.2140548706,8.260122986,-0.4169459045,0.5581980348,-0.2890258431,1,Pushups
173,-5.664670258,-0.4556524658,8.509953461,-0.3979852498,0.5589754581,-0.273704946,1,Pushups
174,-5.796096954,-0.5328918457,8.704099731,-0.3808815777,0.5170584917,-0.2414108515,1,Pushups
175,-5.83636322,-0.4480183411,8.713979187,-0.3622394502,0.4424737394,-0.1985321045,1,Pushups
176,-5.808820496,-0.2579136658,8.508306885,-0.3505622149,0.3265990019,-0.1539478898,1,Pushups
177,-5.697901154,-0.02664459229,8.195906525,-0.3586238623,0.163672924,-0.1131985933,1,Pushups
178,-5.575605469,0.09804611206,7.887248383,-0.3783308268,0.01502994634,-0.07900894433,1,Pushups
179,-5.404361572,0.1272354126,7.538773041,-0.4131505787,-0.06157907844,-0.05394380912,1,Pushups
180,-5.230123901,0.001646575928,7.092101898,-0.4671576321,-0.07830306143,-0.03912589327,1,Pushups
181,-5.070555725,-0.3264710999,6.765930176,-0.5242558122,-0.04810974002,-0.02629584819,1,Pushups
182,-4.955894165,-0.7872129822,6.548133087,-0.561013341,-0.01281331107,-0.02414052375,1,Pushups
183,-4.857249298,-1.245559845,6.359674988,-0.5604646802,0.006836824119,-0.01854469068,1,Pushups
184,-4.687801666,-1.575773163,6.199208679,-0.5056144595,0.003627805039,-0.003292746842,1,Pushups
185,-4.40653656,-1.648521881,5.990542603,-0.4052356482,-0.005871689878,0.003859704826,1,Pushups
186,-4.06135437,-1.420396271,5.775888977,-0.2951619029,-0.04646479338,0.01339516137,1,Pushups
187,-3.694467316,-0.996328125,5.667065277,-0.2075998336,-0.1306387931,0.05002481118,1,Pushups
188,-3.323838043,-0.4529580688,5.756130066,-0.1652326882,-0.249367401,0.1108366475,1,Pushups
189,-2.959495697,0.1068777466,5.907165985,-0.1457426101,-0.3494639099,0.1862746924,1,Pushups
190,-2.738255768,0.550405426,5.826483765,-0.1327977329,-0.3880012035,0.2300635576,1,Pushups
191,-2.73331604,0.7924520874,5.414241028,-0.1152283251,-0.3631041348,0.2130803019,1,Pushups
192,-2.959046631,0.7619155884,4.904101868,-0.09293583035,-0.2758050561,0.1442189515,1,Pushups
193,-3.363655243,0.4779560852,4.423900452,-0.06173264235,-0.1539462358,0.08348450065,1,Pushups
194,-3.75479187,0.07753875732,3.99115036,-0.01859613135,-0.06242792308,0.06516525894,1,Pushups
195,-3.947141876,-0.2820135498,3.726800079,0.02839854173,-0.05167993531,0.06806491315,1,Pushups
196,-4.039200439,-0.5054988098,3.621568909,0.07858505845,-0.1539483666,0.07821064442,1,Pushups
197,-4.028273163,-0.4900808716,3.67635498,0.1512645781,-0.3486787081,0.09917318821,1,Pushups
198,-3.899690552,-0.1745370483,3.887416077,0.2733359337,-0.4728740156,0.13054654,1,Pushups
199,-3.737577667,0.4170327759,4.00986145,0.4139029086,-0.4532028437,0.1816528738,1,Pushups
200,-3.575464783,1.078656921,4.050277405,0.489795804,-0.3401434422,0.2291959226,1,Pushups
201,-3.426075439,1.427731018,4.318968658,0.4573478401,-0.2110626996,0.2645280957,1,Pushups
202,-3.407663727,1.263971558,4.984185333,0.343483299,-0.07695616782,0.2857660651,1,Pushups
203,-3.546425171,0.689765625,5.818400574,0.2238823175,0.06561456621,0.2884036601,1,Pushups
204,-3.86481308,-0.09580078125,6.530769196,0.177599445,0.1759826392,0.2521455586,1,Pushups
205,-4.257596283,-0.7912545776,7.094945984,0.2489351481,0.2366473228,0.2000059187,1,Pushups
206,-4.518503723,-1.143921204,7.520660706,0.4316014349,0.2144733816,0.1637289673,1,Pushups
207,-4.491709442,-1.002465363,7.81030838,0.6424252391,0.144505471,0.1471159011,1,Pushups
208,-4.30594574,-0.4900808716,8.069269867,0.779776454,0.1071600094,0.1273773313,1,Pushups
209,-4.268224182,0.1225950623,8.34499649,0.805498302,0.1779255271,0.1038863882,1,Pushups
210,-4.508025513,0.5153782654,8.564589844,0.7512353063,0.2985628247,0.104720898,1,Pushups
211,-4.786446533,0.7179071045,8.767268372,0.6642506123,0.3513868749,0.1345293969,1,Pushups
212,-4.98807724,0.7957452393,8.974886627,0.5970433354,0.3015942574,0.1871158332,1,Pushups
213,-5.170098724,0.7461982727,9.09852951,0.5918834805,0.2119532973,0.2298047096,1,Pushups
214,-5.399721222,0.5875282288,8.991502075,0.6328836679,0.125976786,0.2575092018,1,Pushups
215,-5.693111115,0.4360432434,8.778195648,0.6848922372,0.05111506581,0.2816092074,1,Pushups
216,-5.896837463,0.3782633972,8.733738098,0.6966224313,-0.02066586725,0.3160861135,1,Pushups
217,-5.939049683,0.4179309082,8.862470398,0.6516839862,-0.1096247733,0.3489849269,1,Pushups
218,-5.906716919,0.4312532043,9.054521027,0.5643258095,-0.2207946181,0.3769080639,1,Pushups
219,-5.838907928,0.3224295044,9.142537994,0.4871602356,-0.3607746065,0.399949193,1,Pushups
220,-5.682483215,0.1182540894,9.063801727,0.4324768186,-0.5496252775,0.4181777239,1,Pushups
221,-5.41633667,-0.05688171387,8.935368805,0.3877074718,-0.7739531994,0.4382177591,1,Pushups
222,-5.038672028,-0.1335223389,8.888366547,0.3430302143,-0.9559165835,0.4413324296,1,Pushups
223,-4.67103653,-0.1475930786,8.920549622,0.2937460244,-1.038606644,0.4172105789,1,Pushups
224,-4.478237457,-0.1628613281,8.925489349,0.2597481608,-0.9773873091,0.358407557,1,Pushups
225,-4.493505707,-0.1425036621,8.932973785,0.2539499104,-0.8045489788,0.2744759023,1,Pushups
226,-4.650379486,0.0173638916,8.983119507,0.2902325392,-0.5652464628,0.1735657007,1,Pushups
227,-4.980293427,0.3228785706,9.119336243,0.3634244502,-0.2938607335,0.07554138452,1,Pushups
