X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
2.448757782,2.601440277,-1.575174408,-0.04190669954,0.2346569598,-0.409468174,2,Jumping
2.9077034,2.792742462,0.4224215698,0.2220956683,0.3728081882,-0.5542205572,2,Jumping
3.14989975,2.20446579,2.253713379,0.3436179757,0.6021888256,-0.6337655783,2,Jumping
2.387235718,0.9380992126,1.398841095,0.2721648216,0.5539978743,-0.5560833216,2,Jumping
0.1544787598,-0.4480183411,-1.191821594,0.05964906514,0.100804098,-0.4005679488,2,Jumping
-1.695673828,-1.04258194,-3.198099518,-0.2240793109,-0.4385866821,-0.2230038047,2,Jumping
-2.444117432,-1.399140472,-3.833528137,-0.4259517193,-0.7640217543,-0.07165875286,2,Jumping
-2.395917664,-1.737436981,-2.673889618,-0.4989790618,-0.8978546262,0.006793707609,2,Jumping
-1.451980591,-2.311343536,-0.963097229,-0.4659320414,-0.862526238,0.02560438216,2,Jumping
-0.2049238586,-3.000809784,0.4867877197,-0.3996494114,-0.7047006488,0.01531179808,2,Jumping
0.3909869385,-3.917353821,1.256786499,-0.3435511589,-0.5658162236,-0.05396337807,2,Jumping
0.9779164124,-5.069657593,1.185384979,-0.2123832852,-0.4626378715,-0.2001903653,2,Jumping
1.788181458,-6.609505463,1.12326416,-0.06288523972,-0.3275758922,-0.3572848141,2,Jumping
1.802102509,-9.048683167,1.304986267,0.06724826247,-0.2204260081,-0.5271084905,2,Jumping
1.532513123,-12.26609253,1.013542328,0.2333157957,-0.1363790035,-0.7419602275,2,Jumping
1.37369339,-16.25260254,0.4200265503,0.4227786958,-0.074173145,-0.9347760081,2,Jumping
0.8083190918,-20.93770981,-0.5486091614,0.4262342751,0.05532513186,-0.9412275553,2,Jumping
-0.698896637,-23.76503036,-1.907633057,0.1898257285,0.07758836448,-0.7203175426,2,Jumping
-2.879711609,-21.28184418,-2.709814911,0.07142439485,0.1226753518,-0.5081079006,2,Jumping
-2.915936279,-17.94737823,-1.382225647,0.06649035215,0.2057172358,-0.1820341647,2,Jumping
-2.450853424,-17.60324387,0.1243913269,0.08388851583,0.2242989093,0.02702210844,2,Jumping
-0.7917036438,-18.78294067,0.0505947876,-0.003482868429,0.270848304,0.05832703412,2,Jumping
1.743723907,-20.9324707,-1.678908691,-0.08697044849,0.06646167487,0.03671711683,2,Jumping
2.9767099,-22.82528458,-3.314707031,-0.07424213737,-0.1077218428,0.02387641929,2,Jumping
2.687810669,-23.61399445,-2.855162659,-0.001488642767,-0.09897473454,0.07302781194,2,Jumping
1.604513397,-23.20684113,-1.348845062,0.03801003098,-0.1057775095,0.1860550344,2,Jumping
