X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
-1.171286702,-5.673382282,-6.642475605,-1.395588398,-0.272167027,-0.1222354919,3,Squads
-0.313459754,-5.860620975,-7.250850677,-1.389196992,-0.3414071798,-0.1328878254,3,Squads
0.2709871531,-5.788238049,-7.672585964,-1.430741072,-0.1805569977,-0.1371487528,3,Squads
0.4097708762,-5.687739372,-7.864011765,-1.437132478,-0.1699046642,-0.07536523789,3,Squads
-0.3613162339,-5.414957523,-8.395816803,-1.446719646,-0.09959928691,0.03222329915,3,Squads
-1.798804402,-5.347958565,-7.988438606,-1.459502339,0.02503297664,0.1312899739,3,Squads
-2.579462767,-5.376672268,-8.123034477,-1.428610682,0.02929390781,0.1898777932,3,Squads
-3.092125177,-5.319244862,-7.26042223,-1.393458009,-0.00798924733,0.2186390758,3,Squads
-3.552145243,-5.505885124,-7.418348312,-1.419023514,0.01438064594,0.216508612,3,Squads
-3.293720484,-5.716453075,-7.581658363,-1.484002709,0.09001219273,0.1760297567,3,Squads
-2.569891453,-5.855835438,-6.766902447,-1.487198472,0.0037283157,0.1185071766,3,Squads
-1.755733609,-5.682953835,-6.876972198,-1.45737195,-0.01544587873,0.07376738638,3,Squads
-1.180858016,-5.338387489,-8.443673134,-1.414762616,0.01118494663,0.04500609636,3,Squads
-0.8979067206,-4.96450901,-9.981659889,-1.397718906,0.03994623944,0.02370143496,3,Squads
-0.950548768,-5.002793789,-9.172286987,-1.42541492,0.06977276504,-0.03062544949,3,Squads
-1.482353687,-4.969294548,-8.970691681,-1.445654392,0.08894696087,-0.08708280325,3,Squads
-1.956730723,-4.883152962,-9.153144836,-1.460567594,0.16031757,-0.128626883,3,Squads
-2.042872429,-4.926223755,-9.066405296,-1.502111673,0.27536273,-0.128626883,3,Squads
-1.62652123,-5.170291424,-9.4307127,-1.520220637,0.2679060996,-0.1062569916,3,Squads
-1.52542448,-4.787439823,-8.841479301,-1.508503079,0.2700365782,-0.05832150951,3,Squads
-1.956730723,-4.380061626,-8.319246292,-1.555373311,0.3754946291,-0.04127778113,3,Squads
-2.690130949,-4.020540237,-8.750552177,-1.60650456,0.4500609636,-0.04127778113,3,Squads
-2.871985435,-4.111467361,-7.935796261,-1.612895966,0.3350157738,-0.03914731368,3,Squads
-2.795415163,-3.627519131,-8.218747139,-1.59691751,0.2657756507,-0.04340824485,3,Squads
-2.119442701,-3.004786968,-9.866804123,-1.527677298,0.1890788674,-0.01038602181,3,Squads
