,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
126,-2.902314606,-3.488645325,-10.14171021,-0.8229972124,-0.4133333266,0.4527152777,1,Squads
127,-2.981050873,-3.460503845,-10.42432251,-0.7131953239,-0.3506297171,0.3680232763,1,Squads
128,-3.067720642,-3.895648956,-11.06753494,-0.6307940483,-0.2622113228,0.2532747686,1,Squads
129,-3.37458252,-4.314328308,-11.56016052,-0.531457603,-0.2494387925,0.153145507,1,Squads
130,-3.660787354,-4.303101654,-11.56764496,-0.4260970652,-0.2129163444,0.08618942648,1,Squads
131,-3.936813354,-3.843856659,-11.47079636,-0.3134836853,-0.1481128484,0.04908067733,1,Squads
132,-4.089346161,-3.439397736,-11.52453461,-0.1499781907,-0.04644238576,0.0364924036,1,Squads
133,-3.988455963,-3.308420105,-11.92450287,0.1267636567,0.2487053722,0.03331685066,1,Squads
134,-3.347488861,-3.750899963,-13.10330154,0.187830478,0.1610364616,-0.04341308028,1,Squads
135,-3.657793579,-3.739673309,-11.56150772,0.2039490044,-0.01024340559,-0.1648692042,1,Squads
136,-4.574038239,-3.017574921,-10.81965042,0.2647871375,-0.05419882759,-0.2606047392,1,Squads
137,-4.131857758,-3.966900787,-12.11176346,0.3853260577,-0.07798884809,-0.2967576683,1,Squads
138,-3.966900787,-4.076323242,-12.42925323,0.511901319,-0.0338582918,-0.3426095843,1,Squads
139,-4.047882385,-3.790567474,-12.19244568,0.6461552382,0.0200867001,-0.4079313278,1,Squads
140,-4.254602509,-3.785328369,-11.75849808,0.7795683146,0.05089305714,-0.4598417878,1,Squads
141,-4.39486084,-3.774401093,-11.49265091,0.9035714865,0.07111124694,-0.5031886697,1,Squads
142,-4.276307373,-3.841461639,-11.44714554,1.023779392,0.09500049055,-0.5452461243,1,Squads
143,-4.091142426,-3.977378998,-11.34236343,1.135591984,0.1019500121,-0.5844867229,1,Squads
144,-4.116439819,-4.137845306,-11.19267471,1.243861675,0.1121722981,-0.6029389501,1,Squads
145,-4.258195038,-4.172423401,-10.92113937,1.35225153,0.1465153545,-0.5974943638,1,Squads
146,-4.380041656,-4.133654022,-10.70274353,1.447672367,0.1945865303,-0.5868433118,1,Squads
147,-4.378544769,-4.152065735,-10.51967422,1.539403915,0.2669800222,-0.5717863441,1,Squads
148,-4.30714325,-4.13739624,-10.17988083,1.628649354,0.3469333053,-0.5549432039,1,Squads
149,-4.232747955,-4.071383514,-9.900711365,1.704653263,0.4131181836,-0.526166141,1,Squads
150,-4.063000946,-4.061054993,-9.767787781,1.783188701,0.4987660944,-0.4960063398,1,Squads
151,-3.851490784,-4.122277679,-9.494605865,1.862812757,0.5991017222,-0.4779940248,1,Squads
152,-3.752247162,-4.322710876,-9.352102203,1.936844945,0.7329471111,-0.4867500365,1,Squads
153,-3.717818756,-4.569697266,-9.467063141,2.01648283,0.8763602376,-0.4972098768,1,Squads
154,-3.615431671,-4.638404388,-9.450896759,2.091361046,1.00090313,-0.5057553649,1,Squads
155,-3.497476959,-4.608466644,-9.400601349,2.155937195,1.108962178,-0.5022323132,1,Squads
156,-3.312761078,-4.628075867,-9.274713135,2.21434617,1.196901441,-0.4887776971,1,Squads
157,-3.020119629,-4.573289795,-9.012308807,2.265980721,1.2716223,-0.4719185829,1,Squads
158,-2.742447052,-4.472399597,-8.888665924,2.293339729,1.299194694,-0.4231446683,1,Squads
159,-2.20207077,-4.379143524,-8.650960236,2.297026873,1.261338949,-0.3296988606,1,Squads
160,-1.506916351,-4.236190796,-8.127349091,2.236447811,1.148097515,-0.1751039922,1,Squads
161,-0.8002359009,-3.972289581,-7.505991211,2.148447514,1.005567789,-0.03403236344,1,Squads
162,-0.5110372925,-3.820654907,-7.240144043,2.071885347,0.8429758549,0.06759098172,1,Squads
163,-0.5255570984,-3.829187164,-7.300019531,2.033327103,0.6798554063,0.1294410229,1,Squads
164,-0.4779560852,-3.99115036,-7.693850555,2.095448017,0.6201871037,0.1463635415,1,Squads
165,-0.426612854,-4.329746246,-8.05489975,2.225154877,0.6294650435,0.1305816472,1,Squads
