,X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
2385,-2.398013306,-0.439486084,4.239034882,0.5951318145,-0.00541858701,0.4449610114,2,Pushups
2386,-2.799029388,-0.4824467468,4.468208313,0.6285930872,-0.02474727668,0.4712818265,2,Pushups
2387,-3.086431732,-0.5607339478,4.650379486,0.6513600349,-0.04170622304,0.4913218915,2,Pushups
2388,-3.302133179,-0.7716453552,4.754413147,0.6544668674,-0.04871220142,0.5005087852,2,Pushups
2389,-3.435954895,-1.060694275,4.969066772,0.643753469,-0.05441194028,0.5038927794,2,Pushups
2390,-3.640429688,-1.457369385,5.37068161,0.6195120215,-0.0847954154,0.4916901588,2,Pushups
2391,-3.893253937,-1.832788696,5.852080536,0.5949504972,-0.1577029079,0.4631666243,2,Pushups
2392,-4.059558105,-1.970502319,6.379882965,0.558767736,-0.2318373322,0.4265984893,2,Pushups
2393,-4.132157135,-1.715732117,6.827751617,0.5219938159,-0.2520261407,0.3912851214,2,Pushups
2394,-4.175417175,-1.020877075,7.15152832,0.5002772808,-0.244905889,0.3573505878,2,Pushups
2395,-4.299509125,-0.02050735474,7.51317627,0.5222960114,-0.248185724,0.3542110622,2,Pushups
2396,-4.611460419,0.9859996033,7.933502197,0.5431586504,-0.2293499857,0.3953819275,2,Pushups
2397,-5.238955536,1.713636475,8.287516022,0.5473260283,-0.2131742835,0.466794759,2,Pushups
2398,-6.013894043,1.860780487,8.554111633,0.5674592257,-0.2433905154,0.4935656488,2,Pushups
2399,-6.404880981,1.286873932,9.106463013,0.5910058618,-0.3058339953,0.4965323806,2,Pushups
2400,-6.684349823,0.2137554932,10.02151016,0.5892732143,-0.4001016319,0.4856989086,2,Pushups
2401,-7.142996063,-0.6491999817,10.85482727,0.5854517221,-0.4574496448,0.4537270367,2,Pushups
2402,-7.577991486,-0.8110134888,11.67691772,0.5760976076,-0.4103324711,0.4133812189,2,Pushups
2403,-8.178692322,-0.4694238281,12.35590576,0.5708194971,-0.2392786145,0.3763144016,2,Pushups
