X (m/s^2),Y (m/s^2),Z (m/s^2),X (rad/s),Y (rad/s),Z (rad/s),Subject,Activity
0.03170489892,-0.8249256015,1.358525038,0.01478010789,0.1123820841,0.1206376404,3,Jumping
-0.2177468538,-0.6861419082,0.9367900491,-0.02569874749,0.2561885417,0.1568555683,3,Jumping
-0.3086741269,-0.4558327198,0.5970092416,-0.2408758104,0.5203663111,0.2101172209,3,Jumping
-0.3756731451,-0.2500499785,0.4241278172,-0.6296858788,0.6471290588,0.1941387206,3,Jumping
-0.3086741269,-0.5042873621,0.2183450609,-0.9844084978,0.2892107666,0.009853405878,3,Jumping
-0.02632104978,-1.42372942,-0.5246263742,-0.8927984238,-0.03994623944,-0.07749570161,3,Jumping
0.3236292601,-3.057429075,-2.450250387,-0.6147726178,0.1432738453,0.3230319023,3,Jumping
0.4671986103,-5.592026711,-4.634897232,-0.5391410589,-0.1805569977,0.5447335243,3,Jumping
0.3810569942,-10.11505985,-6.541976929,-0.3442034125,-0.9539161921,0.1579207927,3,Jumping
0.5054838061,-17.7948246,-6.311667919,-0.04487293959,-0.8111749291,-0.1158440933,3,Jumping
1.348953724,-26.8690052,-1.319641709,0.1042596847,0.1762960702,-0.1520620137,3,Jumping
1.320239902,-26.58126831,5.014159679,0.1276948154,0.8133054376,-0.2692376375,3,Jumping
-0.97926265,-15.73938942,4.918447018,0.2278267145,0.4181039631,-0.283085674,3,Jumping
-0.6969096065,-8.577073097,1.966900229,0.2725664973,-0.1240996495,-0.07216953486,3,Jumping
0.9367900491,-8.854640007,0.2709871531,0.2693707943,-0.1549914032,-0.1062569916,3,Jumping
-2.445464849,-14.62792301,-2.39760828,0.4398080707,-0.05059856921,-0.2862813771,3,Jumping
-6.541976929,-24.20998192,-3.28414917,0.7306166887,0.037815772,-0.3693695366,3,Jumping
-8.300103188,-33.0299263,-3.533002615,0.8829450011,0.1581871063,-0.4801537991,3,Jumping
-10.09172916,-35.25764465,-2.996412039,0.8456618786,0.2572537661,-0.5632419586,3,Jumping
-10.79162979,-31.42015457,-4.007379532,0.7455299497,0.3030588031,-0.5504591465,3,Jumping
-5.981458187,-27.34816742,-4.060021877,0.6326152682,0.272167027,-0.5206326246,3,Jumping
-0.8548358679,-25.37409019,-1.650449395,0.5058525205,0.1912093312,-0.5099803209,3,Jumping
0.8985049129,-23.63510513,-0.342173636,0.4025249183,0.116643019,-0.4822842479,3,Jumping
0.6209374666,-21.88176537,-1.133001566,0.3428718746,0.07722939551,-0.4151745737,3,Jumping
-0.8644071817,-19.89332962,-2.182254314,0.3343500197,0.037815772,-0.322499305,3,Jumping
-2.062014818,-17.35873222,-2.201396942,0.350328505,-0.009054481052,-0.2340849638,3,Jumping
-1.803590059,-14.69013596,-1.746162295,0.3567199111,-0.05272903293,-0.1754971445,3,Jumping
