"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.144904542E0,-2.192939758E-1,-1.639540558E0,-1.877994690E0
1.154861542E0,-2.002835083E-1,-2.944975891E0,-1.244512024E0
1.164818542E0,-5.218148804E-1,-4.918322296E0,-9.511221313E-1
1.174775542E0,-9.056167603E-2,-7.009024658E0,-1.053958282E0
1.184732542E0,3.965254211E-1,-9.135802002E0,1.194515991E-1
1.194689542E0,-4.146377563E-2,-1.114043335E1,2.076481934E0
1.204647542E0,-4.457730103E-1,-1.320613770E1,3.654650116E0
1.214604542E0,-1.091380463E0,-1.545476166E1,2.761756897E0
1.224561542E0,-1.705553284E0,-1.756402542E1,5.947132874E-1
1.234518542E0,-1.998045044E0,-1.865061584E1,-2.474354553E-1
1.244475542E0,-2.425106964E0,-1.818553299E1,-2.330653381E-1
1.254433542E0,-3.041525116E0,-1.697021027E1,4.224215698E-1
1.264390542E0,-2.440375214E0,-1.696871338E1,2.080523529E0
1.274347542E0,-9.557624817E-1,-1.858490250E1,2.845732269E0
1.284304542E0,6.520440674E-1,-2.106479553E1,2.436632996E0
1.294261542E0,2.049088898E0,-2.425780563E1,1.434616699E0
1.304219542E0,2.984793091E0,-2.713407440E1,3.472778320E-2
1.314176542E0,3.895349579E0,-2.813249817E1,-1.065035248E0
1.324133542E0,3.926933899E0,-2.561802704E1,-1.684447174E0
1.334090542E0,2.622696075E0,-2.144500488E1,-1.188229065E0
1.344047542E0,1.121168518E0,-1.842593307E1,1.561253357E-1
1.354004542E0,-1.610650635E-1,-1.619377487E1,1.302890625E0
1.363962542E0,-1.237925720E0,-1.402538406E1,1.730700989E0
1.373919542E0,-1.785487061E0,-1.198377960E1,9.746232605E-1
1.383876542E0,-1.314266968E0,-1.019425095E1,-3.116519165E-1
1.393833542E0,-3.772155762E-1,-8.905431061E0,-6.324348450E-1
1.403790542E0,1.901046753E-1,-7.944579163E0,-2.673440552E-1
1.413748542E0,6.137237549E-1,-6.906637573E0,-6.396199036E-1
1.423705542E0,1.066831512E0,-5.449866943E0,-1.225202179E0
1.433662542E0,1.042432251E0,-3.746259613E0,-9.457333374E-1
1.443619542E0,9.388476562E-1,-1.862277374E0,1.278341675E-1
1.453576542E0,1.418450317E0,-3.323089600E-2,5.993536377E-1
1.463533542E0,2.153571625E0,1.778152313E0,-2.938389587E-1
1.473491542E0,3.595523071E0,2.924767914E0,-1.257235565E0
1.483448542E0,5.071453857E0,2.684068451E0,-1.212778015E0
1.493405542E0,5.905818787E0,1.258283386E0,1.360670471E-1
1.503362542E0,5.413941650E0,-3.805087280E-1,1.316512299E0
1.513319542E0,3.066672821E0,-1.691183167E0,4.266128540E-1
1.523276542E0,8.003855896E-1,-1.562001801E0,-9.391470337E-1
1.533234542E0,-2.380050659E-1,-6.662644958E-1,-1.327140198E0
1.543191542E0,-1.234033813E0,-3.478765869E-1,-9.574090576E-1
1.553148542E0,-1.661245422E0,-4.791535950E-1,-7.659571838E-1
1.563105542E0,-1.462009735E0,-9.054670715E-1,-6.523434448E-1
1.573062542E0,-1.294957123E0,-1.514849854E0,-3.423381042E-1
1.583020542E0,-1.097068634E0,-2.214345245E0,4.864883423E-2
1.592977542E0,-8.828640747E-1,-3.146307220E0,1.929487610E-1
1.602934542E0,-3.800596619E-1,-4.403393097E0,-3.462300110E-1
1.612891542E0,5.887257385E-1,-6.033952332E0,-1.306782532E0
1.622848542E0,1.435065765E0,-8.225245514E0,-1.705702972E0
1.632805542E0,1.611399078E0,-1.145537842E1,-1.586401062E0
1.642763542E0,1.557511139E0,-1.593286743E1,-1.289568329E0
1.652720542E0,1.125060425E0,-2.102602615E1,-6.849755859E-1
1.662677542E0,3.008743286E-2,-2.450164856E1,-2.540217590E-1
1.672634542E0,-2.231260071E0,-2.348241806E1,-1.676513672E-1
1.682591542E0,-3.775448914E0,-2.159738800E1,3.923341370E-1
