"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.559371542E0,-1.565753222E-1,-7.087468505E-1,-1.019873098E-1
1.569328542E0,-1.870503277E-1,-7.194765806E-1,-8.729274571E-2
1.579285542E0,-1.835567951E-1,-6.710757613E-1,-5.736946315E-2
1.589242542E0,-1.101052165E-1,-5.589574575E-1,-7.746784948E-3
1.599199542E0,-1.137236506E-1,-5.155434608E-1,2.727378346E-2
1.609156542E0,-2.377724499E-1,-5.281651020E-1,-3.764400631E-2
1.619114542E0,-3.228761554E-1,-4.558218718E-1,-1.958743781E-1
1.629071542E0,-3.644597232E-1,-3.736733496E-1,-3.678732812E-1
1.639028542E0,-2.998661101E-1,-3.328103423E-1,-5.720053911E-1
1.648985542E0,-7.471691072E-2,-1.538174450E-1,-8.071181774E-1
1.658942542E0,7.724092901E-2,-5.238622427E-3,-9.746978283E-1
1.668900542E0,1.295608282E-1,1.001807228E-1,-8.556300402E-1
1.678857542E0,2.693373859E-1,2.017944306E-1,-5.920359492E-1
1.688814542E0,3.812314570E-1,4.187195301E-1,-3.581274748E-1
1.698771875E0,2.955565155E-1,7.369763255E-1,-2.134941518E-1
1.708728875E0,1.817404181E-1,7.612963915E-1,-3.324314952E-1
1.718686875E0,3.049665093E-1,3.430733383E-1,-5.139245987E-1
1.728643875E0,4.295847714E-1,-1.566178910E-2,-4.320542514E-1
1.738600875E0,2.573219240E-1,-5.332341045E-2,-5.789047852E-2
1.748557875E0,-4.644197226E-2,-3.593018651E-1,3.452706337E-1
1.758514875E0,-2.616408467E-1,-6.979976296E-1,6.727773547E-1
1.768471875E0,-2.375789136E-1,-7.978667617E-1,8.338229656E-1
1.778429875E0,-1.007755250E-1,-7.786493897E-1,8.423706293E-1
1.788386875E0,2.364501916E-2,-7.002178431E-1,8.000259995E-1
1.798343875E0,1.334585994E-1,-5.514472723E-1,7.223865986E-1
1.808300875E0,2.236958593E-1,-3.881992698E-1,6.168740988E-1
1.818257875E0,3.156433702E-1,-2.425086796E-1,5.008763671E-1
1.828214875E0,4.112128019E-1,-1.985629350E-1,4.254124463E-1
1.838172875E0,4.989860654E-1,-3.079520166E-1,4.158724546E-1
1.848129875E0,5.066661239E-1,-4.204708934E-1,3.920179904E-1
1.858086875E0,4.085960090E-1,-3.630557954E-1,3.847366273E-1
1.868043875E0,2.563618720E-1,-2.483599633E-1,4.120360911E-1
1.878000875E0,1.202788725E-1,-2.296485901E-1,4.580429792E-1
1.887958875E0,2.736185491E-2,-3.716348112E-1,4.906269908E-1
1.897915875E0,-9.782583453E-3,-5.946393609E-1,4.795743525E-1
1.907872875E0,8.489195257E-3,-8.091794848E-1,4.263732731E-1
1.917829875E0,9.005250037E-2,-9.379121661E-1,3.357940912E-1
1.927786875E0,1.292952299E-1,-9.501444697E-1,2.516503334E-1
1.937743875E0,1.205051988E-1,-8.874035478E-1,1.218771562E-1
1.947701875E0,9.178651124E-2,-7.543333769E-1,-5.073210225E-2
1.957658875E0,9.596687555E-2,-5.556498766E-1,-2.189251184E-1
1.967615875E0,8.080246300E-2,-2.987887561E-1,-3.168704808E-1
1.977572875E0,-1.647269353E-2,-1.362520307E-1,-3.229131997E-1
1.987529875E0,-7.283547521E-2,-1.569637805E-1,-2.898014784E-1
1.997487875E0,-7.386159152E-2,-1.581598073E-1,-2.860120833E-1
2.007444875E0,5.062879622E-2,-6.660244428E-3,-2.724373639E-1
2.017401875E0,-1.109784693E-1,2.578017712E-1,-2.774560750E-1
2.027358875E0,-1.082704514E-1,-3.091036677E-1,-3.028711379E-1
2.037315875E0,-7.802946121E-2,-7.320352197E-1,-2.698785663E-1
2.047272875E0,3.790515661E-2,-4.998569787E-1,-2.051662207E-1
2.057230875E0,1.053585112E-2,-3.342533708E-1,-1.987362802E-1
2.067187875E0,2.683333680E-2,-2.170931250E-1,-2.929995954E-1
2.077144875E0,-5.132804066E-2,1.884856634E-2,-2.327429205E-1
2.087101875E0,-1.576400548E-1,2.090419680E-1,-7.399974763E-2
2.097058875E0,2.532348335E-1,4.089417756E-1,1.370176822E-1
2.107016875E0,5.797534585E-1,3.859873712E-1,2.172816992E-1
2.116973875E0,6.572170854E-1,4.819538295E-1,1.127534285E-1
2.126930875E0,4.802536964E-1,6.786873341E-1,-1.056130975E-1
2.136887875E0,1.168608293E-1,5.965402722E-1,-2.095746547E-1
2.146844875E0,-2.269437313E-1,2.763083279E-1,-1.269223690E-1
2.156801875E0,-3.149457574E-1,1.974925995E-1,-6.314605474E-2
2.166759875E0,-2.578971684E-1,2.567897141E-1,-1.037023962E-2
2.176716875E0,-1.458153576E-1,1.778139621E-1,7.230679691E-2
2.186673875E0,-5.352434143E-2,1.912046671E-1,1.729394048E-1
2.196630875E0,-7.043541223E-2,3.060404658E-1,2.973497808E-1
2.206587875E0,-1.361512095E-1,4.001564980E-1,3.820509911E-1
2.216545875E0,-1.668185741E-1,4.716179073E-1,3.465172350E-1
2.226502875E0,-1.934503168E-1,6.412329078E-1,2.913502753E-1
2.236459875E0,-2.574508786E-1,9.290055633E-1,2.699307203E-1
2.246416875E0,-3.398798108E-1,1.193847656E0,2.624167800E-1
2.256373875E0,-3.883139193E-1,1.340175390E0,2.907932997E-1
2.266330875E0,-4.497096241E-1,1.359028816E0,3.245382607E-1
2.276288875E0,-5.204123259E-1,1.320617437E0,3.413135409E-1
2.286245875E0,-5.555331707E-1,1.216609716E0,3.367894292E-1
2.296202875E0,-5.597734451E-1,1.105193973E0,2.848703265E-1
2.306159875E0,-5.968691707E-1,1.003886580E0,1.723608375E-1
2.316116875E0,-7.255714536E-1,1.050082803E0,-6.082676351E-3
2.326074875E0,-7.425233126E-1,1.163862705E0,-2.308772355E-1
2.336031875E0,-6.153563261E-1,1.172106266E0,-4.702924788E-1
2.345988875E0,-4.660170674E-1,1.105907559E0,-7.139400244E-1
2.355945875E0,-3.153601885E-1,1.060567260E0,-9.248474836E-1
2.365902875E0,-1.426973343E-1,9.627768993E-1,-9.938371181E-1
2.375859875E0,-6.534741819E-2,7.165524364E-1,-8.714155555E-1
2.385817875E0,-1.418410093E-1,2.850418985E-1,-6.548622251E-1
2.395774875E0,-3.239205480E-1,-1.173215359E-1,-3.903689981E-1
2.405731875E0,-5.198197365E-1,-4.414731562E-1,-1.143177077E-1
2.415688875E0,-6.893608570E-1,-6.710184813E-1,1.134723127E-1
2.425645875E0,-7.673061490E-1,-7.352293730E-1,2.537410557E-1
2.435603875E0,-8.122482896E-1,-6.726512313E-1,3.205557764E-1
2.445560875E0,-8.234685659E-1,-5.450069308E-1,3.080161810E-1
2.455517875E0,-8.212506771E-1,-5.004267097E-1,2.350372821E-1
2.465474875E0,-8.035652637E-1,-4.925244749E-1,1.028199643E-1
2.475431875E0,-6.976199746E-1,-4.264756739E-1,-6.127416715E-2
2.485388875E0,-5.688928962E-1,-2.881414592E-1,-2.567984462E-1
2.495346875E0,-4.126108885E-1,-1.381173432E-1,-5.284779072E-1
2.505303875E0,-1.379392296E-1,-4.146282375E-2,-7.901820540E-1
2.515260875E0,1.157641485E-1,1.972427070E-1,-8.493188620E-1
2.525217875E0,1.751771718E-1,4.811986387E-1,-5.087437630E-1
2.535174875E0,2.106840312E-1,5.758047700E-1,-2.530097365E-1
2.545131875E0,2.970542908E-1,4.828723073E-1,-7.944001257E-2
2.555089875E0,3.895794451E-1,3.642287552E-1,1.273518521E-2
2.565046875E0,4.451983571E-1,1.399701983E-1,-1.117643900E-2
2.575003875E0,4.451434910E-1,-2.524007857E-1,5.217723176E-2
2.584960875E0,3.778525889E-1,-5.788788795E-1,1.894862205E-1
2.594917875E0,3.316627145E-1,-7.456191182E-1,3.574339449E-1
2.604875875E0,3.291877210E-1,-7.026205659E-1,4.788883924E-1
2.614832875E0,3.079817593E-1,-5.591664314E-1,5.388973355E-1
2.624789875E0,2.924349606E-1,-4.306611419E-1,5.489768386E-1
2.634746875E0,2.870423198E-1,-3.679375648E-1,5.053470731E-1
