"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.385659024E0,6.619145870E0,-3.479164124E0,8.181060791E0
1.395527253E0,6.475576401E0,-3.273381472E0,8.252845764E0
1.405498712E0,5.991627693E0,-3.263810158E0,8.343772888E0
1.415470222E0,5.229514122E0,-3.670589924E0,8.161917686E0
1.425344285E0,4.506283283E0,-3.829114437E0,8.472985268E0
1.435315743E0,4.391427994E0,-3.833899975E0,8.578866959E0
1.445287253E0,4.802993298E0,-3.709473372E0,8.520841599E0
1.455161628E0,5.464608669E0,-3.464807272E0,8.693722725E0
1.465133087E0,6.101697922E0,-3.100499868E0,8.602795601E0
1.475104597E0,6.499504566E0,-2.851646423E0,8.118846893E0
1.484964910E0,6.566503525E0,-2.688934565E0,7.989036560E0
1.494936368E0,6.600003242E0,-2.549552441E0,8.228917122E0
1.504907878E0,6.633502483E0,-2.587837696E0,8.047062874E0
1.514789701E0,6.643074036E0,-2.937788010E0,7.778468132E0
1.524761160E0,6.422336102E0,-3.426522017E0,8.085348129E0
1.534732670E0,5.493322372E0,-3.805186272E0,8.228917122E0
1.544603035E0,4.697709084E0,-3.905684710E0,7.883752346E0
1.554567878E0,4.563711166E0,-3.972683907E0,7.826324463E0
1.564532722E0,4.764708042E0,-4.034897327E0,8.027321815E0
1.574427983E0,5.291727066E0,-3.843471289E0,8.080561638E0
1.584392826E0,6.049055576E0,-3.536591768E0,8.114061356E0
1.594357670E0,6.547360897E0,-3.268595695E0,8.276773453E0
1.604238712E0,6.714858532E0,-3.014358282E0,8.310273170E0
1.614203556E0,6.805785656E0,-2.913859844E0,8.070990562E0
1.624168399E0,6.753143787E0,-3.143570662E0,7.744968891E0
1.634053295E0,6.388836384E0,-3.345165968E0,7.955537319E0
1.644018139E0,6.010770321E0,-3.527020693E0,8.391629219E0
1.653982983E0,5.785246849E0,-3.646661758E0,8.693722725E0
1.663842462E0,5.593821049E0,-3.488735437E0,9.067003250E0
1.673807306E0,5.584249973E0,-3.052643538E0,9.215956688E0
1.683772201E0,5.813961029E0,-2.732005358E0,8.976076126E0
1.693680691E0,5.977271080E0,-2.775076151E0,8.703293800E0
1.703645535E0,6.178267956E0,-3.019144058E0,8.598010063E0
1.713610378E0,6.456433773E0,-3.393022537E0,8.559126854E0
1.723470639E0,6.681358814E0,-3.656233072E0,8.305487633E0
1.733435431E0,6.729215622E0,-3.857828379E0,8.085348129E0
1.743400326E0,6.432505608E0,-3.829114437E0,7.941180229E0
1.753287566E0,5.766104221E0,-3.464807272E0,8.003393173E0
1.763252410E0,5.009374142E0,-3.038286448E0,7.993822098E0
1.773217253E0,4.827519894E0,-2.794218540E0,7.917252064E0
1.783109493E0,5.243870735E0,-2.746362209E0,7.874181271E0
1.793074285E0,5.636891842E0,-2.870789051E0,7.955537319E0
1.803039128E0,5.785246849E0,-3.129213810E0,8.032107353E0
1.812938035E0,5.723033428E0,-3.340380430E0,8.003393173E0
1.822902878E0,5.483751297E0,-3.474378586E0,7.974679470E0
1.832867722E0,5.129015446E0,-3.464807272E0,7.850253105E0
1.842752253E0,4.851448059E0,-3.450450182E0,7.663612843E0
1.852717097E0,4.798207760E0,-3.479164124E0,7.668398380E0
1.862681941E0,4.971088886E0,-3.388236761E0,7.917252064E0
1.872577253E0,5.344369411E0,-3.148954630E0,8.027321815E0
1.882542097E0,5.732604980E0,-2.947359324E0,8.008178711E0
1.892506941E0,5.977271080E0,-3.043072224E0,8.070990562E0
1.902373816E0,5.953342915E0,-3.254238844E0,8.161917686E0
1.912338608E0,5.794818401E0,-3.440878868E0,8.157132149E0
1.922303451E0,5.488536835E0,-3.589233875E0,7.950751305E0
1.932195691E0,5.028516769E0,-3.637090445E0,7.912466049E0
1.942160535E0,4.735994339E0,-3.651447296E0,8.036892891E0
1.952125378E0,4.702494621E0,-3.402593851E0,7.950751305E0
1.961999285E0,4.913661480E0,-3.124428272E0,7.993822098E0
1.971964128E0,5.243870735E0,-3.000001431E0,8.056633949E0
1.981928972E0,5.703890800E0,-3.067000389E0,7.998608112E0
1.991816993E0,6.106483459E0,-3.259024382E0,8.104490280E0
2.001781837E0,6.101697922E0,-3.335594654E0,8.300702095E0
2.011746681E0,5.837889194E0,-3.292523861E0,8.032107353E0
2.021635691E0,5.416752338E0,-3.326023579E0,7.721040249E0
2.031600483E0,4.942375183E0,-3.440878868E0,7.859824181E0
2.041565326E0,4.659423828E0,-3.378665686E0,8.042277336E0
2.051458087E0,4.668995380E0,-3.187239647E0,7.883752346E0
2.061417618E0,5.071587563E0,-2.933002472E0,7.821538925E0
2.071377201E0,5.421537876E0,-2.674577475E0,7.697112083E0
2.081233399E0,5.541179180E0,-2.775076151E0,7.399804115E0
2.091192983E0,5.545964718E0,-3.244667530E0,7.582256794E0
2.101152514E0,5.421537876E0,-3.503092289E0,7.936394691E0
2.111085951E0,5.219942570E0,-3.632304668E0,7.912466049E0
2.121045535E0,5.157729149E0,-3.786043644E0,7.931608677E0
2.131005066E0,5.143372059E0,-3.800400496E0,8.133204460E0
2.140884597E0,5.071587563E0,-3.493520975E0,8.171489716E0
2.150844181E0,5.076373100E0,-3.148954630E0,7.912466049E0
2.160803712E0,5.253442287E0,-3.086143017E0,7.945965767E0
2.170691628E0,5.239085197E0,-3.196810961E0,8.075776100E0
2.180651212E0,5.119443893E0,-3.345165968E0,7.989036560E0
2.190610743E0,5.210371494E0,-3.680759430E0,7.912466049E0
2.200494545E0,5.364109993E0,-4.063611031E0,7.917252064E0
2.210454128E0,5.565107346E0,-4.231706619E0,8.003393173E0
2.220413660E0,5.675177097E0,-4.001397610E0,7.893323898E0
2.230319493E0,5.608178139E0,-3.560520172E0,7.874181271E0
2.240279076E0,5.148158073E0,-3.129213810E0,8.027321815E0
2.250238608E0,4.630710125E0,-3.043072224E0,8.161917686E0
2.260141941E0,4.477569580E0,-3.450450182E0,8.147561073E0
2.270101524E0,4.688137531E0,-4.101896286E0,7.979465485E0
2.280061056E0,5.196014404E0,-4.734199524E0,7.859824181E0
2.289967983E0,5.550750256E0,-4.974080086E0,7.768897057E0
2.299927566E0,5.522036552E0,-4.600201607E0,7.543971539E0
2.309887097E0,5.296513081E0,-4.020540237E0,7.332805157E0
2.319786056E0,4.980660439E0,-3.493520975E0,7.375875950E0
2.329745639E0,4.716851711E0,-3.259024382E0,7.520043373E0
2.339705170E0,4.549354076E0,-3.378665686E0,7.606184959E0
2.349571993E0,4.712066174E0,-3.867399693E0,7.582256794E0
2.359531576E0,5.042873859E0,-4.413561344E0,7.677969456E0
2.369491108E0,5.124229908E0,-4.600201607E0,7.802396297E0
2.379403399E0,5.042873859E0,-4.490131855E0,7.553543091E0
2.389362983E0,4.928018093E0,-4.289134502E0,7.213163853E0
2.399322514E0,4.788636208E0,-4.125824451E0,7.064808846E0
2.409189181E0,4.501497746E0,-4.063611031E0,7.198806763E0
2.419148764E0,4.391427994E0,-4.097110748E0,7.409375191E0
2.429108295E0,4.625924587E0,-4.217350006E0,7.548757076E0
2.439005847E0,4.995017052E0,-4.284348965E0,7.596613884E0
2.448965431E0,5.383252621E0,-4.356133461E0,7.539186001E0
2.458924962E0,5.488536835E0,-4.279563427E0,7.404589653E0
2.468836316E0,5.416752338E0,-4.082753658E0,7.442874908E0
2.478795899E0,5.272584915E0,-3.948755503E0,7.347161770E0
2.488755431E0,5.014159679E0,-3.910470486E0,7.275377274E0
2.498660951E0,4.894518852E0,-4.025325775E0,7.356733322E0
2.508620535E0,4.904089928E0,-4.111467361E0,7.265805721E0
2.518580066E0,4.798207760E0,-4.207180500E0,7.079165936E0
2.528482670E0,4.616353035E0,-4.470989227E0,7.016952515E0
2.538442253E0,4.472783566E0,-4.604987144E0,6.915855408E0
2.548401785E0,4.463212490E0,-4.466203690E0,6.805785656E0
2.558263920E0,4.568496704E0,-4.293920040E0,6.714858532E0
2.568219024E0,4.664209366E0,-3.972683907E0,6.628716946E0
2.578174128E0,4.621138573E0,-3.613162279E0,6.561717987E0
2.588075170E0,4.496711731E0,-3.359523058E0,6.542575359E0
2.598030274E0,4.319643021E0,-3.225524902E0,6.374479294E0
2.607985378E0,4.199403763E0,-3.211168051E0,6.288337708E0
2.617901264E0,4.146761417E0,-3.225524902E0,6.317051888E0
2.627856420E0,3.984049797E0,-3.316452265E0,6.297909260E0
2.637811524E0,3.850051641E0,-3.498306751E0,6.369693756E0
2.647710222E0,3.830909014E0,-3.690330744E0,6.437291145E0
2.657665274E0,3.773481369E0,-3.766901016E0,6.317051888E0
2.667620431E0,3.638885021E0,-3.665804386E0,6.259624004E0
2.677546837E0,3.677170277E0,-3.651447296E0,6.092126369E0
2.687501941E0,3.907479286E0,-3.728615999E0,5.943771362E0
2.697457045E0,4.189832687E0,-3.963112593E0,6.005984783E0
2.707346420E0,4.280759811E0,-4.202394962E0,6.063412666E0
2.717301576E0,4.261617184E0,-4.408775806E0,6.149554253E0
2.727256681E0,4.218546391E0,-4.437489510E0,6.398407936E0
2.737166212E0,4.165904045E0,-4.111467361E0,6.647859573E0
2.747121368E0,4.286143780E0,-3.833899975E0,6.738786697E0
2.757076472E0,4.587639332E0,-3.766901016E0,6.628716946E0
2.766996785E0,5.042873859E0,-3.953541279E0,6.537789822E0
2.776951889E0,5.291727066E0,-4.211966038E0,6.604788780E0
2.786906993E0,5.200799942E0,-4.480560303E0,6.911069870E0
2.796778399E0,4.908875465E0,-4.514060020E0,7.371089935E0
2.806733451E0,4.654638290E0,-4.365705013E0,7.548757076E0
2.816688556E0,4.597210407E0,-4.178466320E0,7.706683636E0
2.826615847E0,4.779065132E0,-4.025325775E0,7.802396297E0
2.836571003E0,5.167300701E0,-3.876971006E0,7.677969456E0
2.846526108E0,5.775675774E0,-3.728615999E0,7.677969456E0
2.856437618E0,6.211767673E0,-3.589233875E0,7.874181271E0
2.866392722E0,6.269195557E0,-3.522234917E0,7.845467091E0
2.876347826E0,6.082555294E0,-3.661018610E0,7.711469173E0
2.886244128E0,5.593821049E0,-3.996612072E0,7.706683636E0
2.896199233E0,5.138586521E0,-4.461417675E0,7.730611801E0
2.906154337E0,5.009374142E0,-4.921437740E0,7.673183918E0
2.916062045E0,5.210371494E0,-5.189434052E0,7.539186001E0
2.926017149E0,5.469394207E0,-5.179862976E0,7.457231998E0
2.935972253E0,5.507679462E0,-4.787439823E0,7.534400463E0
2.945848608E0,5.291727066E0,-4.164109707E0,7.524828911E0
2.955803712E0,4.990231514E0,-3.637090445E0,7.385447025E0
2.965758816E0,4.721637249E0,-3.364308596E0,7.313662529E0
2.975684285E0,4.611567497E0,-3.416950703E0,7.098308563E0
2.985639441E0,4.601995945E0,-3.771686792E0,6.815357208E0
2.995594545E0,4.740779877E0,-4.173680782E0,6.805785656E0
3.005475795E0,4.817948341E0,-4.432703972E0,6.762714863E0
3.015430847E0,4.745565414E0,-4.509274483E0,6.537789822E0
3.025386003E0,4.549354076E0,-4.356133461E0,6.451648235E0
3.035319389E0,4.252045631E0,-4.101896286E0,6.403193474E0
3.045274493E0,3.940979004E0,-3.824328899E0,6.288337708E0
3.055229597E0,3.835694790E0,-3.646661758E0,6.197410583E0
3.065139545E0,3.806980848E0,-3.627519131E0,6.226124287E0
3.075091368E0,3.850051641E0,-3.790829182E0,6.293123722E0
3.085043191E0,4.022335052E0,-4.106681824E0,6.230910301E0
3.094932149E0,4.256831646E0,-4.413561344E0,6.221338749E0
3.104883972E0,4.482355118E0,-4.571487427E0,6.168696880E0
3.114835795E0,4.621138573E0,-4.432703972E0,6.120840549E0
3.124751003E0,4.534996986E0,-4.097110748E0,6.135197163E0
3.134702826E0,4.247260094E0,-3.843471289E0,6.350551128E0
3.144654649E0,3.873979807E0,-3.699902058E0,6.470790863E0
3.154583191E0,3.696312666E0,-3.762115479E0,6.393621922E0
3.164535014E0,3.859622955E0,-4.034897327E0,6.393621922E0
3.174486837E0,4.314857483E0,-4.226921082E0,6.518647194E0
3.184391993E0,4.951946259E0,-4.207180500E0,6.748358250E0
3.194343816E0,5.258227825E0,-3.824328899E0,6.714858532E0
3.204295639E0,4.899304390E0,-3.359523058E0,6.690930367E0
3.214188868E0,4.266402721E0,-3.095714331E0,6.872784615E0
3.224140691E0,3.768695593E0,-2.971287489E0,6.958926678E0
3.234092514E0,3.614956856E0,-3.081357241E0,6.963712215E0
3.244009441E0,4.094119549E0,-3.550948858E0,6.805785656E0
3.253961264E0,5.071587563E0,-4.188037872E0,6.600003242E0
3.263913087E0,5.723033428E0,-4.394418716E0,6.638288021E0
3.273831576E0,5.507679462E0,-4.073182583E0,6.762714863E0
3.283783399E0,4.870590687E0,-3.690330744E0,7.127022266E0
3.293735222E0,4.525425911E0,-3.464807272E0,7.332805157E0
3.303647670E0,4.611567497E0,-3.225524902E0,7.471588612E0
3.313599493E0,5.076373100E0,-3.297309637E0,7.601399422E0
3.323551316E0,5.986842155E0,-3.805186272E0,7.582256794E0
3.333464441E0,6.542575359E0,-4.135395527E0,7.524828911E0
3.343416264E0,6.216553211E0,-4.034897327E0,7.404589653E0
3.353368087E0,5.296513081E0,-3.915256023E0,7.284948349E0
