"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.444987253E0,1.031944528E-1,-1.113168523E-1,4.287562892E-2
1.454861628E0,7.549838722E-2,-4.101147130E-2,1.014634445E-1
1.464833087E0,3.928046674E-2,-1.118494663E-2,1.121157780E-1
1.474804597E0,1.904104091E-2,-1.225017942E-2,8.335448056E-2
1.484664910E0,1.478010789E-2,-1.864157803E-2,3.648423031E-2
1.494636368E0,1.584534161E-2,-6.764229387E-2,-7.190322969E-3
1.504607878E0,3.821523488E-2,-1.443390697E-1,-4.766917601E-2
1.514489701E0,8.082455397E-2,-1.667089611E-1,-8.282186836E-2
1.524461160E0,1.319557428E-1,-1.166430190E-1,-1.083874628E-1
1.534432670E0,1.830869317E-1,-6.444659829E-2,-1.158440933E-1
1.544303035E0,2.054568231E-1,-5.858781748E-3,-9.986559302E-2
1.554267878E0,1.713693589E-1,5.592473224E-2,-6.577813625E-2
1.564232722E0,1.330209672E-1,8.894696087E-2,-2.103835158E-2
1.574127983E0,1.106510833E-1,1.027949899E-1,1.624480449E-2
1.584092826E0,8.402025700E-2,1.017297506E-1,2.263620123E-2
1.594057670E0,5.099803209E-2,6.977276504E-2,1.331541222E-3
1.603938712E0,2.649767138E-2,2.077204362E-2,-2.210358530E-2
1.613903556E0,2.862813696E-2,-2.663082443E-3,-3.914731368E-2
1.623868399E0,3.928046674E-2,-5.326165119E-4,-4.553871229E-2
1.633753295E0,4.673709720E-2,-1.597849536E-3,-3.701684624E-2
1.643718139E0,5.738943070E-2,-2.716344222E-2,-1.571218669E-2
1.653682983E0,4.886756465E-2,-3.781577200E-2,-2.929390874E-3
1.663542462E0,1.371487509E-2,-2.503297664E-2,-6.125089712E-3
1.673507306E0,-7.589785382E-3,4.793548491E-3,1.331541222E-3
1.683472201E0,-1.198387123E-3,5.485950038E-2,6.657706574E-3
1.693380691E0,1.158440951E-2,6.444659829E-2,1.091863867E-2
1.703345535E0,3.075860441E-2,4.207670316E-2,1.304910425E-2
1.713310378E0,4.780233279E-2,1.864157803E-2,3.462007269E-3
1.723170639E0,4.247616604E-2,-2.396774292E-2,-2.210358530E-2
1.733135431E0,1.691057347E-2,-4.314193875E-2,-5.086487532E-2
1.743100326E0,4.127778113E-3,-4.314193875E-2,-7.323476672E-2
1.752987566E0,-7.589785382E-3,-6.018566713E-2,-7.216953486E-2
1.762952410E0,-1.291595027E-2,-8.149032295E-2,-4.340824485E-2
1.772917253E0,-3.328853287E-3,-8.042509109E-2,9.853405878E-3
1.782809493E0,1.264964230E-2,-6.657706201E-2,6.098458916E-2
1.792774285E0,2.969337068E-2,-4.101147130E-2,7.696308941E-2
1.802739128E0,4.247616604E-2,-2.663082443E-3,5.565842614E-2
1.812638035E0,4.993279651E-2,3.035914153E-2,1.304910425E-2
1.822602878E0,3.395430371E-2,5.485950038E-2,-2.956021577E-2
1.832567722E0,9.453942999E-3,8.894696087E-2,-3.808208182E-2
1.842452253E0,-1.291595027E-2,1.251648813E-1,-2.929390874E-3
1.852417097E0,-3.954677656E-2,1.368824393E-1,5.459319428E-2
1.862381941E0,-5.978620425E-2,1.283605844E-1,1.153114736E-1
1.872277253E0,-7.789516449E-2,1.155777797E-1,1.483336985E-1
1.882242097E0,-8.428656310E-2,1.240996495E-1,1.398118287E-1
1.892206941E0,-7.682993263E-2,1.358172148E-1,9.507204592E-2
1.902073816E0,-6.511236727E-2,1.645784974E-1,2.902759984E-2
1.912038608E0,-6.830807030E-2,2.039921284E-1,-2.636451647E-2
1.922003451E0,-6.830807030E-2,2.221010923E-1,-4.447348043E-2
1.931895691E0,-6.511236727E-2,2.093182951E-1,-1.145125460E-2
1.941860535E0,-7.256899774E-2,1.677742004E-1,5.885412544E-2
1.951825378E0,-9.067796171E-2,1.326215118E-1,1.312899739E-1
1.961699285E0,-1.055912226E-1,1.326215118E-1,1.877473146E-1
1.971664128E0,-1.119826213E-1,1.454043090E-1,2.101172209E-1
1.981628972E0,-1.173087880E-1,1.560566425E-1,1.941387206E-1
1.991516993E0,-1.215697154E-1,1.613828093E-1,1.515294015E-1
2.001481837E0,-1.300915778E-1,1.411433816E-1,9.613727778E-2
2.011446681E0,-1.279611140E-1,1.134473160E-1,4.926702753E-2
2.021335691E0,-1.130478531E-1,1.209039465E-1,3.435376659E-2
2.031300483E0,-1.087869257E-1,1.187734827E-1,4.607132822E-2
2.041265326E0,-1.130478531E-1,1.049254537E-1,8.122401685E-2
2.051158087E0,-1.087869257E-1,1.059906855E-1,1.163767055E-1
2.061117618E0,-1.002650559E-1,1.091863886E-1,1.472684592E-1
2.071077201E0,-9.919982404E-2,9.427312016E-2,1.472684592E-1
2.080933399E0,-8.322133124E-2,1.155777797E-1,1.153114736E-1
2.090892983E0,-7.150376588E-2,1.581871063E-1,8.015878499E-2
2.100852514E0,-8.961272985E-2,1.571218669E-1,6.098458916E-2
2.110785951E0,-1.055912226E-1,1.454043090E-1,7.057169080E-2
2.120745535E0,-1.119826213E-1,1.464695334E-1,9.507204592E-2
2.130705066E0,-1.300915778E-1,1.198387146E-1,1.227681041E-1
2.140584597E0,-1.524614692E-1,7.829462737E-2,1.387466043E-1
2.150544181E0,-1.567224115E-1,6.231613085E-2,1.398118287E-1
2.160503712E0,-1.503310055E-1,5.912043154E-2,1.270290315E-1
2.170391628E0,-1.535267085E-1,3.994623944E-2,1.046591476E-1
2.180351212E0,-1.513962448E-1,5.166380107E-2,9.294158220E-2
2.190310743E0,-1.492657810E-1,8.681648970E-2,9.933298081E-2
2.200194545E0,-1.673747450E-1,1.059906855E-1,1.195724085E-1
2.210154128E0,-1.886793971E-1,9.320788831E-2,1.387466043E-1
2.220113660E0,-1.993317306E-1,5.485950038E-2,1.547250897E-1
2.230019493E0,-2.089188248E-1,-3.728315700E-3,1.547250897E-1
2.239979076E0,-2.089188248E-1,-5.166380107E-2,1.376813650E-1
2.249938608E0,-1.908098608E-1,-6.125089899E-2,1.238333359E-1
2.259841941E0,-1.695052087E-1,-3.781577200E-2,1.259638071E-1
2.269801524E0,-1.535267085E-1,-7.989247330E-3,1.398118287E-1
2.279761056E0,-1.577876359E-1,4.793548491E-3,1.600512564E-1
2.289667983E0,-1.929403245E-1,-2.663082443E-3,1.653774232E-1
2.299627566E0,-2.302234918E-1,-1.438064594E-2,1.589860320E-1
2.309587097E0,-2.525933683E-1,-2.290250920E-2,1.536598653E-1
2.319486056E0,-2.536586225E-1,-3.994623944E-2,1.568555683E-1
2.329445639E0,-2.398105860E-1,-7.083799690E-2,1.621817350E-1
2.339405170E0,-2.174406946E-1,-7.829462737E-2,1.664426625E-1
2.349271993E0,-1.886793971E-1,-4.633763805E-2,1.653774232E-1
2.359231576E0,-1.801575422E-1,-1.970681176E-2,1.451379955E-1
2.369191108E0,-1.961360276E-1,-1.864157803E-2,1.206376404E-1
