"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.100551833E0,-7.105489373E-1,-1.708394289E-1,-3.175598681E-1
1.110615833E0,-6.679504514E-1,-2.877318561E-1,-3.559774756E-1
1.120679833E0,-6.179229617E-1,-5.459067225E-1,-3.408277929E-1
1.130743833E0,-6.684947014E-1,-8.307594657E-1,-2.666876018E-1
1.140806833E0,-1.090604424E0,-1.120664835E0,-1.317074001E-1
1.150870833E0,-1.958076000E0,-1.424247622E0,8.716072142E-2
1.160934833E0,-2.776885748E0,-1.484295249E0,3.305760622E-1
1.170997833E0,-3.586363792E0,-1.209560633E0,5.163885355E-1
1.181061833E0,-4.025014400E0,-7.438741326E-1,7.144749761E-1
1.191125833E0,-3.292727709E0,-3.110038340E-1,8.679253459E-1
1.201189833E0,-1.432011604E0,2.211620659E-1,7.533199787E-1
1.211252833E0,9.505911171E-2,1.026953340E0,3.835948408E-1
1.221316833E0,7.300853133E-1,1.914519191E0,-1.476048678E-1
1.231380833E0,9.305428863E-1,2.241539001E0,-5.543915629E-1
1.241444833E0,1.048736691E0,1.361770868E0,-7.113875747E-1
1.251507833E0,1.275122285E0,-1.389476508E-1,-5.761724710E-1
1.261571833E0,1.405494094E0,-1.122922301E0,-2.143106610E-1
1.271635833E0,1.325379491E0,-1.256153107E0,2.188090235E-1
1.281699833E0,1.371291041E0,-9.319979548E-1,3.121640086E-1
1.291762833E0,1.545801520E0,-5.872226357E-1,1.881230325E-1
1.301826833E0,1.748164773E0,-4.260057509E-1,-7.463509217E-3
1.311890833E0,1.847223401E0,-4.502111971E-1,-1.804490834E-1
1.321954833E0,1.787784219E0,-5.861623883E-1,-2.912562788E-1
1.332017833E0,1.571140885E0,-7.692633271E-1,-3.417551816E-1
1.342081833E0,1.263790011E0,-9.769662023E-1,-3.464734852E-1
1.352145833E0,9.874600172E-1,-1.129096270E0,-3.094281852E-1
1.362208833E0,8.064369559E-1,-1.202397585E0,-2.367457300E-1
1.372272833E0,7.293227911E-1,-1.161626816E0,-1.249399781E-1
1.382336833E0,6.913706064E-1,-1.027162790E0,1.082930062E-2
1.392400833E0,6.280061603E-1,-8.417081833E-1,1.346390396E-1
1.402463833E0,5.413588881E-1,-5.241156220E-1,2.658303380E-1
1.412527833E0,4.597845972E-1,-8.056876063E-2,3.935790062E-1
1.422591833E0,3.747432232E-1,4.443320334E-1,4.871076345E-1
1.432655833E0,2.313264459E-1,8.943166733E-1,5.342721939E-1
1.442718833E0,2.192181721E-2,1.168825746E0,5.250645876E-1
1.452782833E0,-2.545233369E-1,1.177373409E0,4.254826307E-1
1.462846833E0,-6.040738821E-1,8.465126157E-1,2.042695284E-1
1.472910833E0,-9.541342258E-1,1.702575982E-1,-3.855694085E-2
1.482973833E0,-1.224465847E0,-5.381413698E-1,-1.539112329E-1
1.493037833E0,-1.356801987E0,-1.051276922E0,-1.945231110E-1
1.503101833E0,-1.325898409E0,-1.240681529E0,-2.053826898E-1
1.513165833E0,-1.138266206E0,-1.165643215E0,-1.835532635E-1
1.523228833E0,-8.356142044E-1,-9.772387147E-1,-1.401408017E-1
1.533292833E0,-4.848134816E-1,-7.844212651E-1,-9.799423069E-2
1.543356833E0,-2.086788267E-1,-6.228739023E-1,-7.214798778E-2
1.553420833E0,-1.174583286E-1,-4.832395911E-1,-6.113247946E-2
1.563483833E0,-3.070857525E-1,-3.758398890E-1,-4.185518622E-2
1.573547833E0,-1.102467418E0,-3.657640815E-1,6.588464975E-2
1.583612208E0,-2.689206123E0,-4.448359907E-1,3.027672470E-1
1.593675208E0,-3.700311184E0,-2.623944581E-1,4.383049607E-1
1.603739208E0,-3.126286983E0,8.636166900E-2,3.237248659E-1
1.613803208E0,-1.037689924E0,5.223850608E-1,-5.835130066E-2
1.623867208E0,1.015686035E0,5.029397607E-1,-5.544241667E-1
1.633930208E0,2.114269257E0,7.188032866E-1,-9.444287419E-1
1.643994208E0,2.159463644E0,1.323042035E0,-1.137105584E0
1.654058208E0,1.492121935E0,1.477812171E0,-1.026285052E0
1.664122208E0,6.866750121E-1,7.313770652E-1,-5.360612273E-1
1.674185208E0,6.164689660E-1,-1.661457419E-1,1.632659733E-1
1.684249208E0,9.692262411E-1,-5.351386666E-1,4.062913954E-1
1.694313208E0,1.130854011E0,-6.509438753E-1,2.265250385E-1
1.704377208E0,1.101041794E0,-6.423432231E-1,4.679656774E-2
1.714440208E0,1.038948298E0,-5.918008089E-1,-2.272837982E-2
1.724504208E0,1.006321311E0,-5.061599016E-1,-9.789945558E-3
1.734568208E0,1.037369132E0,-4.185200930E-1,4.315684736E-2
1.744632208E0,1.066632748E0,-3.807846904E-1,9.481844306E-2
1.754695208E0,1.077506661E0,-3.812790513E-1,1.160424948E-1
1.764759208E0,1.062179446E0,-3.693502247E-1,1.049245968E-1
1.774823208E0,1.081138134E0,-3.741803765E-1,6.999164820E-2
1.784887208E0,1.139508247E0,-3.374636471E-1,5.108080804E-2
1.794950208E0,1.232224107E0,-2.696872056E-1,8.247442544E-2
1.805014208E0,1.289535880E0,-2.175912261E-1,1.618464738E-1
1.815078208E0,1.210638285E0,-1.452871710E-1,2.579861283E-1
1.825141208E0,9.393356442E-1,-4.325827211E-2,2.826206386E-1
1.835205208E0,5.000882149E-1,8.794412762E-2,2.217053771E-1
1.845269208E0,1.161786541E-2,2.222976685E-1,1.355537176E-1
1.855333208E0,-3.762311637E-1,2.900111079E-1,5.402997136E-2
1.865396208E0,-5.619618297E-1,2.068096846E-1,-1.261722948E-2
1.875460208E0,-5.705725551E-1,-1.995797455E-2,-5.170142278E-2
1.885524208E0,-4.796175957E-1,-2.830865383E-1,-5.899449065E-2
1.895588208E0,-4.140421748E-1,-4.723578691E-1,-4.280522093E-2
1.905651208E0,-5.061162114E-1,-5.802966356E-1,-1.583432220E-2
1.915715208E0,-7.652627230E-1,-6.044691205E-1,-4.424958676E-2
1.925779208E0,-1.111471772E0,-5.572374463E-1,-1.263529807E-1
1.935843208E0,-1.335943460E0,-3.832585812E-1,-2.139350474E-1
1.945906208E0,-1.458627105E0,-1.522565186E-1,-2.891914546E-1
1.955970208E0,-1.818105936E0,-4.222367331E-2,-3.190177083E-1
1.966034208E0,-2.264940977E0,6.242284179E-2,-2.859897017E-1
1.976098208E0,-2.601009607E0,4.026429653E-1,-2.798622251E-1
1.986161208E0,-2.471871614E0,1.004752040E0,-3.901804686E-1
1.996225208E0,-1.726723194E0,1.719190001E0,-5.525845289E-1
2.006289208E0,-3.608762920E-1,2.045944452E0,-6.941240430E-1
2.016352208E0,7.437824607E-1,2.064821720E0,-8.691827059E-1
2.026416208E0,1.094516158E0,1.815636396E0,-1.098825693E0
2.036480208E0,8.617641926E-1,1.468410730E0,-1.255927682E0
2.046544208E0,2.308370918E-2,1.358396888E0,-1.251829743E0
2.056607208E0,-5.568281412E-1,1.114471793E0,-1.169109821E0
2.066671208E0,8.823610842E-2,2.809028625E-1,-1.022104740E0
2.076735208E0,1.087448359E0,-8.439374566E-1,-9.407619238E-1
2.086799208E0,1.553943872E0,-1.346150041E0,-8.871988058E-1
2.096862208E0,1.493768930E0,-1.169429183E0,-7.163346410E-1
2.106926208E0,1.326691985E0,-1.094409585E0,-4.644145072E-1
2.116990208E0,1.285509467E0,-1.107526660E0,-1.877959371E-1
2.127054208E0,1.306121707E0,-9.857259989E-1,-2.272736281E-2
2.137117208E0,1.318583846E0,-8.315302730E-1,-2.373238467E-2
2.147181208E0,1.304753065E0,-6.245315671E-1,-8.119434863E-2
2.157245208E0,1.248561740E0,-4.128741026E-1,-9.354665875E-2
2.167309208E0,1.125558615E0,-2.678532600E-1,1.103594340E-2
2.177372208E0,9.338865280E-1,-5.396118388E-2,2.221226841E-1
2.187436208E0,6.952950358E-1,3.227352500E-1,4.845100641E-1
2.197500208E0,4.582132995E-1,7.221862078E-1,7.227012515E-1
2.207564208E0,2.843565643E-1,9.800238609E-1,8.615707755E-1
2.217627208E0,2.050016373E-1,1.047988772E0,8.723911047E-1
2.227691208E0,2.497070581E-1,8.738155961E-1,8.088683486E-1
2.237755208E0,3.713158369E-1,4.253510833E-1,6.750524640E-1
2.247818208E0,4.487805367E-1,-2.552343905E-1,4.965157509E-1
2.257882208E0,3.483471870E-1,-1.078954339E0,2.741003633E-1
2.267946208E0,-4.432127252E-2,-1.707123756E0,-4.684806988E-2
2.278010208E0,-5.903133154E-1,-1.772691846E0,-4.144384265E-1
2.288073208E0,-9.859738350E-1,-1.320701838E0,-7.529477477E-1
2.298137208E0,-1.153359532E0,-6.332141757E-1,-8.966282606E-1
2.308201208E0,-1.226549625E0,5.015846342E-3,-7.954846025E-1
2.318265208E0,-1.277394295E0,4.104994833E-1,-5.778416991E-1
2.328328208E0,-1.335771561E0,6.033932567E-1,-3.722731471E-1
2.338392208E0,-1.382653594E0,6.348685026E-1,-1.983125061E-1
2.348456208E0,-1.405702233E0,5.517988801E-1,-4.185312986E-2
2.358520208E0,-1.432641149E0,4.518345296E-1,1.007439867E-1
2.368583208E0,-1.464756250E0,3.778990805E-1,2.414779365E-1
2.378647208E0,-1.517184973E0,3.349360228E-1,3.825191557E-1
2.388711208E0,-1.577539563E0,3.034801185E-1,5.409923792E-1
2.398775208E0,-1.778016925E0,2.244956493E-1,7.499310374E-1
2.408838208E0,-2.305259705E0,-1.024299301E-3,1.024930120E0
2.418902208E0,-2.769536495E0,-3.602176011E-1,1.352198720E0
2.428966208E0,-2.436754227E0,-1.214008570E0,1.602439165E0
2.439030208E0,-8.245237470E-1,-1.228799582E0,1.529042006E0
2.449093208E0,1.053213358E0,-1.377211213E-1,1.173899651E0
2.459157208E0,2.205708027E0,7.802281976E-1,7.816066742E-1
2.469221208E0,2.595078707E0,1.223304391E0,4.198439419E-1
2.479284208E0,2.229664087E0,8.827413917E-1,1.555907130E-1
2.489348208E0,1.665858030E0,1.654258966E-1,-6.016049162E-2
2.499412208E0,1.474812388E0,-3.384130299E-1,-1.347628683E-1
2.509476208E0,1.602447271E0,-5.144492984E-1,-5.272019655E-2
2.519539208E0,1.756410718E0,-7.258513570E-1,-1.284258962E-1
2.529603208E0,1.816451430E0,-9.332690239E-1,-2.964609563E-1
2.539667208E0,1.731331468E0,-1.137779236E0,-4.224018753E-1
2.549731208E0,1.558234572E0,-1.331572056E0,-4.526082575E-1
2.559794208E0,1.423167109E0,-1.461006165E0,-3.647661805E-1
2.569858208E0,1.347370386E0,-1.378349900E0,-1.841497868E-1
2.579921583E0,1.284782648E0,-1.018127084E0,5.207098275E-2
2.589985583E0,1.154169798E0,-4.863582551E-1,2.796961367E-1
2.600048583E0,9.502666593E-1,1.184137464E-1,5.012115240E-1
2.610112583E0,7.338701487E-1,7.291852236E-1,7.300819755E-1
2.620176583E0,5.047339797E-1,1.185584188E0,9.896120429E-1
2.630240583E0,2.436024845E-1,1.331864119E0,1.144995570E0
2.640303583E0,-4.620467126E-2,1.220284224E0,1.151100397E0
2.650367583E0,-3.841318488E-1,8.805327415E-1,1.045324087E0
2.660431583E0,-7.284816504E-1,4.270829856E-1,8.644331098E-1
2.670494583E0,-9.781977534E-1,6.223922223E-2,6.261353493E-1
2.680558583E0,-1.122986078E0,-1.561909169E-1,3.516384959E-1
2.690622583E0,-1.190100193E0,-2.363502085E-1,3.460114077E-2
2.700686583E0,-1.198401332E0,-1.921950132E-1,-2.878598869E-1
2.710749583E0,-1.152526021E0,-8.983216435E-2,-4.794183969E-1
2.720813583E0,-1.023843884E0,-4.454628006E-2,-5.541478992E-1
2.730877583E0,-8.136561513E-1,-1.283114851E-1,-5.507481098E-1
2.740941583E0,-5.606101155E-1,-3.569140434E-1,-4.913518429E-1
2.751004583E0,-3.185724318E-1,-6.370873451E-1,-4.077368379E-1
2.761068583E0,-1.248439252E-1,-9.277734160E-1,-3.664719760E-1
2.771132583E0,-2.806065604E-2,-1.166531920E0,-3.512091339E-1
2.781196583E0,-5.815976858E-1,-1.306136131E0,-3.017628789E-1
2.791259583E0,-1.545266271E0,-1.050036907E0,-2.846510112E-1
2.801323583E0,-1.528203011E0,-3.099978864E-1,-3.208395541E-1
2.811387583E0,-8.619490266E-1,4.772231877E-1,-4.118368626E-1
2.821451583E0,4.518929496E-2,1.090290308E0,-6.337909698E-1
2.831514583E0,6.420806646E-1,1.684111595E0,-9.003214836E-1
2.841578583E0,8.052467108E-1,2.272264719E0,-1.031028390E0
2.851642583E0,8.709042668E-1,2.773918867E0,-9.795324802E-1
2.861706583E0,1.507418513E0,2.351321697E0,-6.988871098E-1
2.871769583E0,1.985243678E0,4.301499128E-1,-2.446929514E-1
2.881833583E0,1.640047312E0,-1.163082123E0,5.626275390E-2
2.891897583E0,1.068725467E0,-1.910810113E0,7.295225561E-2
2.901960583E0,4.607676864E-1,-1.293124437E0,-1.201374456E-3
2.912024583E0,1.682988107E-1,-3.202213943E-1,-1.832416654E-2
2.922088583E0,2.906878889E-1,1.573989689E-1,5.276108626E-3
2.932152583E0,5.745449066E-1,2.183278352E-1,7.155659795E-2
2.942215583E0,8.019705415E-1,5.239694193E-2,1.779446751E-1
2.952279583E0,8.877190351E-1,-1.922285259E-1,2.600398362E-1
2.962343583E0,8.364892602E-1,-4.026574492E-1,2.468263507E-1
2.972407583E0,7.005804181E-1,-5.357337594E-1,1.457109153E-1
2.982470583E0,5.201286674E-1,-5.062255859E-1,2.083208039E-2
2.992534583E0,3.245695531E-1,-2.441720963E-1,-5.511541665E-2
3.002598583E0,1.302408874E-1,1.308753043E-1,-8.643183112E-2
3.012662583E0,-2.666671202E-2,4.448694587E-1,-8.273936063E-2
3.022725583E0,-1.223367974E-1,6.254510283E-1,-3.849305958E-2
3.032789583E0,-1.778594404E-1,6.094797850E-1,6.356646866E-2
3.042853583E0,-2.432612479E-1,4.608355165E-1,2.040481418E-1
3.052917583E0,-4.141536355E-1,2.348500788E-1,2.945431471E-1
3.062980583E0,-6.948823929E-1,1.708203182E-2,3.172131777E-1
3.073044583E0,-9.179828763E-1,-1.719352901E-1,2.602334917E-1
3.083108583E0,-1.026333332E0,-2.985444367E-1,1.004813835E-1
3.093171583E0,-1.096328855E0,-3.476882875E-1,-1.392094940E-1
3.103235583E0,-1.188477755E0,-3.813300729E-1,-2.960648835E-1
3.113299583E0,-1.281996012E0,-4.358540177E-1,-3.798788190E-1
3.123363583E0,-1.360025644E0,-4.963352680E-1,-4.281560183E-1
3.133426583E0,-1.408810973E0,-5.711935163E-1,-4.417059422E-1
3.143490583E0,-1.440189600E0,-6.375991702E-1,-4.167521596E-1
3.153554583E0,-1.451392412E0,-6.047711968E-1,-3.432201445E-1
3.163618583E0,-1.414017558E0,-3.943687081E-1,-2.166540027E-1
3.173681583E0,-1.234023213E0,-1.017392278E-1,-2.316523343E-2
3.183745583E0,-8.801902533E-1,1.585967243E-1,1.766603589E-1
3.193809583E0,-5.436615348E-1,3.341608346E-1,2.989415228E-1
3.203873583E0,-4.133021235E-1,3.452946842E-1,3.542380333E-1
3.213936583E0,-7.529640794E-1,1.470612735E-2,4.022596180E-1
3.224000583E0,-1.602149248E0,-6.815907359E-1,4.566163123E-1
3.234064583E0,-1.665313840E0,-7.248492837E-1,3.224230707E-1
3.244127583E0,-5.101867914E-1,-2.689592242E-1,-7.320681214E-2
3.254191583E0,9.512891769E-1,-1.304961741E-1,-4.870474041E-1
3.264255583E0,2.338252544E0,-4.047047347E-2,-6.467981935E-1
3.274319583E0,3.041141510E0,3.770063818E-1,-4.764112532E-1
3.284382583E0,2.632240534E0,4.326297939E-1,-1.253272593E-1
3.294446583E0,1.617489696E0,2.326642275E-1,2.017563283E-1
3.304510583E0,8.447811007E-1,-1.085160747E-1,7.126514614E-2
3.314574583E0,7.499011755E-1,-5.162247419E-1,-1.633159220E-1
3.324637583E0,9.304377437E-1,-8.483058214E-1,-2.571234405E-1
3.334701583E0,1.095037103E0,-9.704517126E-1,-2.676442564E-1
3.344765583E0,1.160228372E0,-9.328387380E-1,-2.471861541E-1
3.354829583E0,1.165609360E0,-8.940125108E-1,-1.743580103E-1
3.364892583E0,1.104693651E0,-6.964990497E-1,-6.214273348E-2
3.374956583E0,9.920943975E-1,-3.948976398E-1,1.011615023E-1
3.385020583E0,8.892360330E-1,-3.936546296E-2,2.835399210E-1
3.395083583E0,7.323777080E-1,3.367778063E-1,4.542890191E-1
3.405147583E0,5.786018372E-1,7.411529422E-1,5.981134772E-1
3.415211583E0,4.697915018E-1,1.140629768E0,7.458089590E-1
3.425275583E0,4.322323501E-1,1.329417467E0,8.885733485E-1
3.435338583E0,2.913868129E-1,1.271087289E0,9.160118699E-1
3.445402583E0,-1.324639320E-1,9.604079723E-1,8.356513977E-1
3.455466583E0,-7.106833458E-1,4.260231256E-1,7.021540999E-1
3.465530583E0,-1.104648113E0,-1.362907737E-1,5.290691853E-1
3.475593583E0,-1.181005716E0,-5.606068969E-1,3.404435813E-1
3.485657583E0,-1.044362783E0,-7.614312768E-1,1.293944567E-1
3.495721583E0,-8.680889606E-1,-7.772994637E-1,-1.078346074E-1
3.505785583E0,-7.267492414E-1,-6.903032660E-1,-3.724475801E-1
3.515848583E0,-6.484293938E-1,-5.656305552E-1,-5.806438923E-1
3.525912583E0,-6.563683152E-1,-4.472130835E-1,-7.316803932E-1
3.535976583E0,-6.609319448E-1,-3.518079817E-1,-8.284093142E-1
3.546039583E0,-5.967462063E-1,-3.049204051E-1,-8.630453944E-1
3.556103583E0,-5.087332726E-1,-3.323104978E-1,-8.449612260E-1
3.566167583E0,-4.836892486E-1,-4.658340216E-1,-8.075422645E-1
3.576231583E0,-6.220489740E-1,-6.441845894E-1,-7.866950631E-1
3.586298458E0,-1.429971933E0,-8.045367002E-1,-7.053843737E-1
3.596362458E0,-2.990717173E0,-9.268671274E-1,-5.267975330E-1
3.606426458E0,-3.269909859E0,-4.906432629E-1,-3.751068115E-1
3.616490458E0,-1.948399663E0,4.618141949E-1,-3.067927361E-1
3.626553458E0,-5.166177452E-2,1.092642069E0,-3.082079291E-1
3.636617458E0,1.098465085E0,1.296827078E0,-4.271990359E-1
3.646681458E0,1.462222815E0,1.645308137E0,-7.755111456E-1
3.656745458E0,1.355882764E0,2.118260860E0,-9.616701007E-1
3.666808458E0,9.739903212E-1,2.495182276E0,-8.140258789E-1
3.676872458E0,6.847766042E-1,1.843431354E0,-3.504198492E-1
3.686936458E0,9.032311440E-1,1.763002127E-1,2.887398899E-1
3.696999458E0,1.031768084E0,-1.732992887E0,6.368758082E-1
3.707063458E0,1.059136629E0,-2.660043240E0,4.964792728E-1
3.717127458E0,9.929634333E-1,-2.019162416E0,3.616109192E-1
3.727191458E0,8.342089057E-1,-1.039736509E0,2.808116674E-1
3.737254458E0,7.631453872E-1,-2.471273243E-1,2.291284949E-1
3.747318458E0,8.649563193E-1,4.164423645E-1,2.277382612E-1
3.757382458E0,1.062398553E0,9.308918715E-1,2.211900949E-1
3.767446458E0,1.212217212E0,1.237609625E0,1.749451607E-1
3.777509458E0,1.192325234E0,1.250404716E0,1.031569913E-1
3.787573458E0,1.051570058E0,9.912526011E-1,4.904849455E-2
3.797637458E0,8.410769105E-1,7.224810719E-1,4.718588293E-2
3.807700458E0,5.792608261E-1,6.003406644E-1,9.807883203E-2
3.817764458E0,3.266664147E-1,6.134445071E-1,2.037173808E-1
3.827828458E0,1.554687172E-1,6.391103864E-1,3.296623230E-1
3.837892458E0,6.802567840E-2,5.842722058E-1,4.523887634E-1
3.847955458E0,-2.688088454E-3,4.452183843E-1,5.494055152E-1
3.858019458E0,-2.424713969E-1,3.363550305E-1,5.628430247E-1
