"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.640220208E0,-6.113287354E0,-2.360426468E1,-2.114053802E0
1.650284208E0,-6.003864899E0,-3.031166656E1,-4.641847229E-1
1.660348208E0,-5.811514893E0,-4.072281647E1,-1.503473511E0
1.670411208E0,-4.122427368E0,-4.840723663E1,-3.100652161E0
1.680475208E0,-7.039860535E-1,-4.642700455E1,-4.594994659E0
1.690539208E0,5.749543762E-1,-3.364673126E1,-4.491859131E0
1.700603208E0,7.604187012E-2,-2.407623322E1,-2.558329926E0
1.710666208E0,1.254391479E-1,-1.872905273E1,-1.688189392E0
1.720730208E0,9.535171509E-2,-1.493758713E1,-1.760638733E0
1.730794208E0,-9.879455566E-2,-1.215726883E1,-1.916614380E0
1.740858208E0,-3.559597778E-1,-9.830058289E0,-1.778302002E0
1.750921208E0,-5.640270996E-1,-7.783514099E0,-1.177900543E0
1.760985208E0,-7.331753540E-1,-5.947881317E0,-4.629872131E-1
1.771049208E0,-8.587641907E-1,-4.271217957E0,7.274871826E-2
1.781113208E0,-8.638536072E-1,-2.662662964E0,3.362008667E-1
1.791176208E0,-8.705895996E-1,-1.004860382E0,3.667373657E-2
1.801240208E0,-8.391549683E-1,6.408174133E-1,-2.240840149E-1
1.811304208E0,-6.941065979E-1,2.067051544E0,-2.980302429E-1
1.821367208E0,-5.206173706E-1,3.287313995E0,-4.894821167E-1
1.831431208E0,-3.478765869E-1,3.908522186E0,-5.798941040E-1
1.841495208E0,-2.239343262E-1,3.985013123E0,-6.965016174E-1
1.851559208E0,-1.785786438E-1,3.966302032E0,-9.939331055E-1
1.861622208E0,-2.134561157E-1,3.861070862E0,-1.352287903E0
1.871686208E0,-3.279679871E-1,3.651356964E0,-1.661844177E0
1.881750208E0,-4.680766296E-1,3.364703064E0,-1.778900757E0
1.891814208E0,-5.499563599E-1,2.933599548E0,-1.701661377E0
1.901877208E0,-4.537065125E-1,1.480122070E0,-1.275946655E0
1.911941208E0,-1.995350647E-1,-7.676037598E-1,-6.312373352E-1
1.922005208E0,-1.089733887E-1,-2.254162445E0,-2.941383362E-1
1.932069208E0,-9.864486694E-2,-2.968926086E0,-3.794609070E-1
1.942132208E0,-2.246827698E-1,-3.326532440E0,-8.092172241E-1
1.952196208E0,-4.432283020E-1,-3.629203033E0,-1.169667664E0
1.962260208E0,-6.619235229E-1,-4.268972626E0,-1.624721375E0
1.972324208E0,-9.104067993E-1,-5.467530212E0,-2.658471680E0
1.982387208E0,-1.779499512E0,-8.784033508E0,-5.216502228E0
1.992451208E0,-3.084036713E0,-1.282038986E1,-8.837771759E0
2.002515208E0,-4.161196747E0,-1.585547836E1,-1.095960938E1
2.012578208E0,-4.643344116E0,-1.674178528E1,-7.164251862E0
2.022642208E0,-4.081113281E0,-1.580997299E1,1.666933594E0
2.032706208E0,-3.611390076E0,-1.601235214E1,6.390211487E0
2.042770208E0,-3.171754303E0,-1.932930450E1,6.326294403E0
2.052833208E0,-1.214574280E0,-2.700324646E1,1.141526184E0
2.062897208E0,2.568508759E0,-3.503853699E1,-3.592229919E0
2.072961208E0,5.828280029E0,-3.694886444E1,-4.358935547E-1
2.083025208E0,7.426356812E0,-3.477403702E1,3.685785370E0
2.093088208E0,8.426427155E0,-3.023487625E1,2.207459564E0
2.103152208E0,8.877139893E0,-2.436528214E1,-1.957928467E-1
2.113216208E0,8.061186676E0,-1.987387207E1,5.026547241E-1
2.123280208E0,6.384972382E0,-1.659000092E1,3.348536682E-1
2.133343208E0,3.803291016E0,-1.446112793E1,-8.217910767E-1
2.143407208E0,1.213227081E0,-1.326301941E1,-1.729204102E0
2.153471208E0,-8.681945801E-1,-1.216819611E1,-3.097508698E0
2.163535208E0,-2.386337585E0,-1.086186264E1,-4.215384064E0
2.173598208E0,-3.469185791E0,-9.383836212E0,-4.136348419E0
2.183662208E0,-4.236340485E0,-7.785310364E0,-3.653901672E0
2.193726208E0,-4.719236298E0,-6.104306030E0,-3.302432556E0
2.203790208E0,-4.755161591E0,-4.381089478E0,-2.588866425E0
2.213853208E0,-4.246369629E0,-2.842439117E0,-1.286724243E0
2.223917208E0,-3.249891815E0,-1.642534332E0,2.761756897E-1
2.233981208E0,-1.962419128E0,-7.177574158E-1,1.634750519E0
2.244044208E0,-7.300318909E-1,-8.831634521E-2,2.606978760E0
2.254108208E0,2.327659607E-1,6.670129395E-1,3.010689240E0
2.264172208E0,1.132395172E0,1.527423706E0,2.718945923E0
2.274236208E0,1.946701813E0,2.221679993E0,1.448837128E0
2.284299208E0,2.565365295E0,2.531535645E0,-4.522096252E-1
2.294363208E0,2.957998810E0,2.083816681E0,-1.970801697E0
2.304427208E0,3.069965973E0,8.107141113E-1,-2.734812927E0
2.314491208E0,2.622396698E0,-6.982978821E-1,-2.806214447E0
2.324554208E0,1.943708038E0,-1.566193085E0,-2.442321167E0
2.334618208E0,1.217568054E0,-2.046095123E0,-1.994602203E0
2.344682208E0,5.438191223E-1,-2.009720764E0,-1.411265259E0
2.354746208E0,-1.347198486E-2,-1.395847321E0,-7.764353943E-1
2.364809208E0,-5.730084229E-1,-6.905140686E-1,-2.146536255E-1
2.374873208E0,-1.062340851E0,-5.083428955E-1,2.106120300E-1
2.384937208E0,-1.445244598E0,-9.524693298E-1,4.857398987E-1
2.395001208E0,-1.736688538E0,-1.645827484E0,6.518943787E-1
2.405064208E0,-2.032174072E0,-2.591261444E0,5.231620789E-1
2.415128208E0,-2.821183319E0,-4.313430176E0,-2.496807861E-1
2.425192208E0,-4.205354919E0,-6.850803680E0,-2.542612610E0
2.435256208E0,-6.434669037E0,-1.090317673E1,-8.514743500E0
2.445319208E0,-8.027207336E0,-1.630723892E1,-1.378408585E1
2.455383208E0,-7.821085968E0,-2.073622879E1,-7.859106903E0
2.465447208E0,-7.425159302E0,-2.667333252E1,-7.770341492E-1
2.475510208E0,-7.891289978E0,-3.700694366E1,1.462608490E0
2.485574208E0,-6.867419128E0,-4.799379639E1,4.395309906E0
2.495638208E0,-3.967200165E0,-5.407549942E1,3.090323639E0
2.505702208E0,1.932481384E-1,-4.868311295E1,-9.764195251E-1
2.515765208E0,2.311942291E0,-3.382171738E1,-2.902763672E0
2.525829208E0,1.949246521E0,-2.410781754E1,-2.271077271E0
2.535893208E0,1.561403046E0,-1.810395264E1,-2.134860535E0
2.545957208E0,1.300196228E0,-1.371208557E1,-2.171833649E0
2.556020208E0,1.029409332E0,-1.048045578E1,-2.401605835E0
2.566084208E0,6.480024719E-1,-7.792794800E0,-2.958597565E0
2.576148208E0,1.085243225E-1,-5.249134369E0,-3.909420319E0
2.586211583E0,-6.080355835E-1,-2.880310364E0,-4.919070740E0
2.596274583E0,-1.182989960E0,-6.953041077E-1,-5.227279816E0
2.606338583E0,-1.516646118E0,1.145418091E0,-4.735402679E0
2.616402583E0,-1.666933594E0,2.568957825E0,-3.676205292E0
2.626466583E0,-1.549427948E0,3.389850769E0,-2.295775909E0
2.636529583E0,-1.245110779E0,3.551065521E0,-7.587721252E-1
2.646593583E0,-8.267308044E-1,3.710184631E0,5.926176453E-1
2.656657583E0,-5.462141418E-1,3.741319885E0,1.697320404E0
2.666720583E0,-3.668870544E-1,3.530857544E0,2.220632172E0
2.676784583E0,-2.761756897E-1,3.154091034E0,1.952988739E0
2.686848583E0,-1.823208618E-1,2.709216156E0,1.416953430E0
2.696912583E0,1.736389160E-2,2.140997772E0,7.487429810E-1
2.706975583E0,4.085005188E-1,1.187630310E0,-4.056564331E-2
2.717039583E0,8.551716614E-1,3.023712158E-2,-3.966751099E-1
2.727103583E0,1.057999878E0,-5.634283447E-1,5.448669434E-2
2.737167583E0,1.000070343E0,-8.161029053E-1,9.801617432E-1
2.747230583E0,7.692503357E-1,-9.035211182E-1,1.865869904E0
2.757294583E0,2.643502808E-1,-1.100661163E0,2.298170929E0
2.767358583E0,-2.606080627E-1,-1.347647552E0,2.320025482E0
2.777422583E0,-5.980064392E-1,-1.457070007E0,1.881138153E0
2.787485583E0,-1.007405090E0,-2.385439453E0,-8.030799866E-1
2.797549583E0,-1.052311707E0,-4.419409790E0,-4.546944580E0
2.807613583E0,-9.840536499E-1,-5.511538696E0,-5.565875702E0
2.817677583E0,-2.311343536E0,-8.749605103E0,-7.072492676E0
2.827740583E0,-4.138444061E0,-1.293265640E1,-5.185217285E0
2.837804583E0,-5.018164673E0,-1.649315231E1,4.162843323E-1
2.847868583E0,-5.470224609E0,-2.159125076E1,3.919150085E0
2.857932583E0,-5.381010132E0,-2.876912430E1,4.129612427E0
2.867995583E0,-3.827690277E0,-4.017765015E1,-3.858825531E0
2.878059583E0,-5.108876038E-1,-4.975787796E1,-6.757846985E0
2.888123583E0,2.288590851E0,-4.625067123E1,6.317911835E0
2.898186583E0,4.030219116E0,-3.741469574E1,8.327333221E0
2.908250583E0,5.487438812E0,-2.824611191E1,2.478845215E-1
2.918314583E0,5.849984894E0,-2.150473068E1,-3.040477295E0
2.928378583E0,5.087320862E0,-1.779918640E1,-1.648671570E0
2.938441583E0,4.239633636E0,-1.515882706E1,-1.203497314E0
2.948505583E0,3.313509521E0,-1.303893539E1,-1.574725342E0
2.958569583E0,2.114053802E0,-1.139565262E1,-2.050885162E0
2.968633583E0,9.291178894E-1,-9.933493195E0,-2.418520660E0
2.978696583E0,-8.113128662E-2,-8.704848175E0,-2.082020416E0
2.988760583E0,-8.384065247E-1,-7.564968567E0,-1.393302612E0
2.998824583E0,-1.323248291E0,-6.039341125E0,-1.065484314E0
3.008888583E0,-1.575773163E0,-4.384083252E0,-1.002016296E0
3.018951583E0,-1.535955963E0,-2.540367279E0,-8.511300659E-1
3.029015583E0,-1.289119263E0,-4.635859680E-1,-8.894503784E-1
3.039079583E0,-9.151968384E-1,1.432371368E0,-7.108717346E-1
3.049143583E0,-4.608915710E-1,2.774330750E0,-1.372645569E-1
3.059206583E0,4.790039063E-2,3.426075439E0,2.454895020E-1
3.069270583E0,4.511618042E-1,3.728147278E0,2.736309814E-1
3.079334583E0,6.137237549E-1,3.616778870E0,1.288819885E-1
3.089397583E0,4.706213379E-1,3.154091034E0,-2.336640930E-1
3.099461583E0,-1.389111328E-1,1.937570801E0,-6.336323547E-1
3.109525583E0,-6.848258972E-1,-1.077758789E-1,-6.971003723E-1
3.119589583E0,-7.357200623E-1,-1.194216614E0,-5.884263611E-1
3.129652583E0,-6.114784241E-1,-1.773212585E0,-5.170248413E-1
3.139716583E0,-3.399430847E-1,-1.975891113E0,-3.558100891E-1
3.149780583E0,-8.532257080E-3,-1.854343872E0,-2.317181396E-1
3.159844583E0,2.745291138E-1,-1.430874481E0,-3.010240173E-1
3.169907583E0,3.216810608E-1,-9.641450500E-1,-3.888912964E-1
3.179971583E0,5.777984619E-2,-5.968089294E-1,-1.239422607E-1
3.190035583E0,-4.849914551E-1,-5.194198608E-1,3.969744873E-1
3.200099583E0,-1.027912445E0,-8.780740356E-1,9.093589783E-1
3.210162583E0,-1.467099152E0,-1.600471802E0,1.264570312E0
3.220226583E0,-1.973795471E0,-2.988984375E0,1.230291595E0
3.230290583E0,-2.608176270E0,-5.800737305E0,-4.099974060E-1
3.240353583E0,-3.084934845E0,-9.925559692E0,-4.584666138E0
3.250417583E0,-2.990630951E0,-1.395128815E1,-3.620221710E0
3.260481583E0,-2.960393829E0,-2.104773102E1,-4.584666138E0
3.270545583E0,-2.752625885E0,-3.266267761E1,-7.742349701E0
3.280608583E0,-2.265688477E0,-4.613600967E1,-3.879183197E0
3.290672583E0,-2.107168121E0,-5.698020905E1,3.924987946E0
3.300736583E0,-1.580114136E0,-6.010391327E1,3.060834961E0
3.310800583E0,-8.993298340E-1,-4.644766159E1,-1.427132263E0
3.320863583E0,9.280700684E-2,-3.059577576E1,-3.327580261E0
3.330927583E0,5.249583435E-1,-2.126732437E1,-2.901117096E0
3.340991583E0,1.029858398E-1,-1.536734344E1,-2.408341827E0
3.351055583E0,-3.359014893E-1,-1.160716278E1,-2.458936615E0
3.361118583E0,-6.007008362E-1,-8.805438995E0,-2.206711121E0
