"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.274857088E0,-1.498916030E0,1.613828093E-1,3.462007269E-3
1.284795265E0,-1.505307436E0,1.762960702E-1,6.098458916E-2
1.294735473E0,-1.471220016E0,2.732322812E-1,1.376813650E-1
1.304673546E0,-1.448850036E0,3.307548463E-1,2.420742065E-1
1.314611671E0,-1.413697362E0,3.030588031E-1,2.442046702E-1
1.324535630E0,-1.387066603E0,3.275591433E-1,1.930734813E-1
1.334473703E0,-1.361500978E0,2.892107666E-1,1.451379955E-1
1.344411828E0,-1.341261506E0,2.753627300E-1,1.344856620E-1
1.354350578E0,-1.328478694E0,2.359491140E-1,1.089200750E-1
1.364288651E0,-1.326348305E0,2.210358530E-1,5.459319428E-2
1.374226776E0,-1.301847935E0,3.286243975E-1,5.672365800E-2
1.384179432E0,-1.234738231E0,3.030588031E-1,6.631075591E-2
1.394117557E0,-1.145258665E0,2.199706137E-1,3.648423031E-2
1.404055682E0,-1.091997027E0,2.881455421E-1,3.967992961E-2
1.413995473E0,-1.088801265E0,2.817541361E-1,6.418029219E-2
1.423933546E0,-9.971912503E-1,1.741656065E-1,-7.989247679E-4
1.433871671E0,-8.810808659E-1,8.575125784E-2,-6.258244067E-2
1.443798755E0,-8.171668649E-1,3.355484083E-2,-8.175663650E-2
1.453736828E0,-7.468615174E-1,2.183727734E-2,-9.666989744E-2
1.463674953E0,-6.456643939E-1,-2.663082443E-3,-9.347419441E-2
1.473621723E0,-5.593804717E-1,5.858781748E-3,-6.364767253E-2
1.483559848E0,-4.730966091E-1,4.420717061E-2,-2.956021577E-2
1.493497921E0,-3.761604130E-1,8.894696087E-2,-2.929390874E-3
1.503409692E0,-2.738980353E-1,7.829462737E-2,2.583190054E-2
1.513347817E0,-1.620485783E-1,3.568530455E-2,5.352795869E-2
1.523285942E0,-4.913387448E-2,-1.651111245E-2,7.376738638E-2
1.533226255E0,4.780233279E-2,-6.977276504E-2,7.802832127E-2
1.543164328E0,1.468690038E-1,-9.746882319E-2,6.950645149E-2
1.553102453E0,2.448704392E-1,-1.400781423E-1,5.033225939E-2
1.563053703E0,3.290238380E-1,-1.667089611E-1,2.689713426E-2
1.572991880E0,4.142425060E-1,-1.528609395E-1,2.476666868E-2
1.582930057E0,4.738955498E-1,-1.209039465E-1,2.583190054E-2
1.592864901E0,5.090482235E-1,-5.592473224E-2,7.722939365E-3
1.602803078E0,5.612446666E-1,5.326165119E-4,-2.103835158E-2
1.612741307E0,6.230281591E-1,3.994623944E-2,-5.619104207E-2
1.622690265E0,6.901378632E-1,9.107742459E-2,-8.814803511E-2
1.632628442E0,7.764217257E-1,1.081211492E-1,-1.190397888E-1
1.642566671E0,8.445966244E-1,8.255556226E-2,-1.467358470E-1
1.652490526E0,8.999887705E-1,3.675054014E-2,-1.680405140E-1
1.662428703E0,9.521851540E-1,-2.663082443E-3,-1.840189993E-1
1.672366932E0,9.947944880E-1,-2.396774292E-2,-1.882799417E-1
1.682312401E0,1.029947162E0,-4.420717061E-2,-1.882799417E-1
1.692250578E0,1.053382277E0,-5.698996782E-2,-1.904104054E-1
1.702188807E0,1.072556496E0,-5.912043154E-2,-1.914756298E-1
1.712130942E0,1.123687744E0,-6.338136643E-2,-1.957365721E-1
1.722069119E0,1.168427467E0,-7.829462737E-2,-2.074541301E-1
1.732007348E0,1.200384498E0,-1.006645188E-1,-2.074541301E-1
1.741923911E0,1.257907033E0,-1.251648813E-1,-1.999974996E-1
1.751862140E0,1.314364433E0,-1.336867511E-1,-1.936061084E-1
1.761800265E0,1.334603786E0,-1.358172148E-1,-1.936061084E-1
1.771746151E0,1.353778005E0,-1.517957002E-1,-2.021279633E-1
1.781684328E0,1.376147866E0,-1.486000121E-1,-2.127802968E-1
1.791622557E0,1.401713490E0,-1.134473160E-1,-2.223673910E-1
1.801580994E0,1.420887709E0,-8.788172156E-2,-2.181064636E-1
1.811519171E0,1.443257570E0,-1.091863886E-1,-1.989322603E-1
1.821457401E0,1.480540752E0,-1.699046642E-1,-1.797580719E-1
1.831370421E0,1.508236766E0,-2.327534109E-1,-1.786928326E-1
1.841308598E0,1.570020318E0,-2.508623898E-1,-1.850842386E-1
1.851246828E0,1.653108478E0,-2.306229472E-1,-1.872147024E-1
1.861211046E0,1.672282696E0,-2.252967805E-1,-1.840189993E-1
