"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.642866671E0,-7.495517135E-1,-1.342373490E0,-1.136650562E1
1.652790526E0,-6.969096065E-1,-1.361516118E0,-1.128514957E1
1.662728703E0,-1.007976532E0,-1.332802176E0,-1.143829060E1
1.672666932E0,-1.391426325E0,-1.351944804E0,-1.135214901E1
1.682612401E0,-1.477568030E0,-1.673181176E0,-1.134736347E1
1.692550578E0,-1.405783296E0,-2.114058733E0,-1.134257793E1
1.702488807E0,-1.228714466E0,-2.185843468E0,-1.081077290E1
1.712430942E0,-9.984052777E-1,-2.051247120E0,-1.102134132E1
1.722369119E0,-1.252642632E0,-2.123630047E0,-1.127557850E1
1.732307348E0,-1.520638824E0,-2.051247120E0,-1.076770210E1
1.742223911E0,-1.525424480E0,-1.955534339E0,-1.049910736E1
1.752162140E0,-1.621735573E0,-2.176272154E0,-1.075813103E1
1.762100265E0,-1.592423439E0,-2.477767944E0,-1.063310528E1
1.772046151E0,-1.386640668E0,-2.698505640E0,-1.059482002E1
1.781984328E0,-1.238285661E0,-2.818146944E0,-1.057567787E1
1.791922557E0,-1.286142230E0,-2.827718258E0,-1.056610680E1
1.801880994E0,-1.386640668E0,-2.933002472E0,-1.035075283E1
1.811819171E0,-1.420140266E0,-2.966501951E0,-1.010130119E1
1.821757401E0,-1.405783296E0,-3.110071182E0,-1.036510944E1
1.831670421E0,-1.515853167E0,-3.268595695E0,-9.890732765E0
1.841608598E0,-1.722234130E0,-3.263810158E0,-9.507282257E0
1.851546828E0,-1.947159410E0,-3.326023579E0,-1.014437199E1
1.861511046E0,-2.244467735E0,-3.603590965E0,-9.881160736E0
1.871449223E0,-2.167897224E0,-3.881756544E0,-9.339784622E0
1.881387453E0,-1.985444546E0,-4.130609989E0,-9.675378799E0
1.891313859E0,-1.908874273E0,-4.427918434E0,-9.545567513E0
1.901252088E0,-1.841875196E0,-4.528416634E0,-9.651450157E0
1.911190265E0,-1.851446509E0,-4.408775806E0,-9.737591743E0
1.921105786E0,-2.244467735E0,-4.332205296E0,-9.215357780E0
1.931044015E0,-2.478964329E0,-4.403990269E0,-8.870193481E0
1.940982192E0,-2.598605394E0,-4.662415028E0,-8.640482903E0
1.950932713E0,-2.292324066E0,-4.959722996E0,-8.688339233E0
1.960870942E0,-1.971087694E0,-5.300102234E0,-8.592626572E0
1.970809119E0,-1.612164259E0,-5.548955917E0,-8.539385796E0
1.980736411E0,-1.367498159E0,-5.692524910E0,-8.534600258E0
1.990674692E0,-1.333998680E0,-5.884549141E0,-8.089534760E0
2.000612817E0,-1.612164259E0,-6.032904148E0,-7.519444942E0
2.010561984E0,-1.664806366E0,-6.133402824E0,-7.480561733E0
2.020500213E0,-1.582852125E0,-6.343971252E0,-7.317849636E0
2.030438390E0,-1.439282775E0,-6.626922131E0,-7.150352478E0
2.040370213E0,-1.080359459E0,-6.784848690E0,-7.236494064E0
2.050308442E0,-6.586244106E-1,-6.780063152E0,-6.992425919E0
2.060246671E0,-4.666004181E-1,-6.924230576E0,-6.843472958E0
2.070180890E0,-5.437689424E-1,-7.192226887E0,-7.001997471E0
2.080119015E0,-7.208378315E-1,-7.412366390E0,-6.939185619E0
2.090057140E0,-7.878368497E-1,-7.618747234E0,-6.575476646E0
2.099994380E0,-7.591229677E-1,-7.762316704E0,-5.967101574E0
2.109932557E0,-7.543373108E-1,-7.743174076E0,-5.535795212E0
2.119870630E0,-7.112665176E-1,-7.680960655E0,-5.492724419E0
2.129835838E0,-5.240281820E-1,-7.680960655E0,-5.660222054E0
2.139773963E0,-3.517449200E-1,-7.810173035E0,-5.319842815E0
2.149712088E0,-1.507478207E-1,-7.973483086E0,-4.773681164E0
2.159623703E0,-1.196411345E-2,-8.174480438E0,-5.066203594E0
2.169561880E0,2.087737769E-1,-8.284550667E0,-4.936991215E0
2.179500005E0,2.327020019E-1,-8.294121742E0,-4.591826439E0
2.189446098E0,1.034895778E-1,-8.193622589E0,-4.610969067E0
2.199384223E0,7.477571070E-2,-8.078767776E0,-4.764110088E0
2.209322348E0,-7.178467698E-3,-8.050053596E0,-4.074378967E0
2.219249171E0,3.170489892E-2,-8.179265976E0,-3.413361549E0
2.229187296E0,3.170489892E-2,-8.361120224E0,-2.838485956E0
2.239125421E0,1.734796353E-2,-8.327621460E0,-2.273181438E0
2.249075786E0,1.274178028E-1,-8.394619942E0,-2.848057270E0
2.259013859E0,3.810569942E-1,-8.207980156E0,-2.852842808E0
2.268951984E0,3.714857101E-1,-8.040482521E0,-2.584248543E0
2.278903911E0,4.576273263E-1,-7.915457249E0,-2.680559635E0
2.288842036E0,5.054838061E-1,-7.470392227E0,-2.459821701E0
2.298780161E0,5.826523304E-1,-7.197012424E0,-2.206182480E0
2.308700890E0,8.362914920E-1,-6.991229534E0,-2.085943222E0
2.318639015E0,7.453642488E-1,-6.574280262E0,-2.210968018E0
2.328577192E0,5.730810165E-1,-6.166902065E0,-2.541177750E0
2.338513651E0,5.970092416E-1,-6.008975983E0,-2.900699139E0
2.348451776E0,6.257231236E-1,-6.109474182E0,-3.187838078E0
2.358389901E0,4.528416991E-1,-6.267400742E0,-3.092125177E0
2.368341255E0,4.145565331E-1,-6.713063717E0,-3.183052301E0
2.378279328E0,6.448656917E-1,-7.321439266E0,-3.446861029E0
2.388217505E0,6.496513486E-1,-7.733603001E0,-3.859024763E0
2.398143598E0,6.975077987E-1,-8.121838570E0,-4.376472473E0
2.408081776E0,7.788637877E-1,-8.452047348E0,-4.227519512E0
2.418019848E0,9.511470199E-1,-8.768498421E0,-3.806382656E0
2.427956098E0,1.042074203E0,-9.281160355E0,-3.427718401E0
2.437894223E0,1.037288666E0,-9.827322960E0,-3.332005501E0
2.447832401E0,1.195813060E0,-1.022991467E1,-3.566502094E0
2.457790005E0,1.234098315E0,-1.048833942E1,-3.461217880E0
2.467728130E0,1.003789067E0,-1.067557812E1,-3.039483070E0
2.477666255E0,7.692924738E-1,-1.063669491E1,-2.431107759E0
2.487584223E0,8.793623447E-1,-1.058405304E1,-1.750947952E0
2.497522401E0,1.071386337E0,-1.059840965E1,-1.410568953E0
2.507460526E0,1.243669510E0,-1.052662468E1,-1.496710539E0
2.517435630E0,1.372882009E0,-1.022512913E1,-1.789233088E0
2.527373755E0,1.320239902E0,-9.812965393E0,-1.947159410E0
2.537311880E0,7.310073376E-1,-9.453444481E0,-1.937588096E0
2.547219901E0,2.470589429E-1,-9.104091644E0,-1.875374794E0
2.557157973E0,5.084748194E-2,-8.993423462E0,-1.918445587E0
2.567096151E0,1.734796353E-2,-9.007781029E0,-1.985444546E0
2.577053598E0,-1.316052526E-1,-8.935996056E0,-2.014158487E0
2.586991828E0,-1.124626622E-1,-8.935996056E0,-2.148754835E0
2.596930057E0,2.662015259E-1,-9.142376900E0,-2.407179594E0
2.606854015E0,7.501499057E-1,-9.496515274E0,-2.871985435E0
2.616792192E0,1.234098315E0,-9.731609344E0,-3.552145243E0
2.626730473E0,1.444666624E0,-9.592825890E0,-4.222733974E0
2.636684067E0,1.310668588E0,-8.988637924E0,-4.285545349E0
2.646622296E0,1.076171994E0,-8.207980156E0,-4.083950043E0
2.656560526E0,9.272187948E-1,-7.805387497E0,-4.021736622E0
2.666467192E0,9.032905698E-1,-7.666603565E0,-3.993022680E0
2.676405421E0,1.133599758E0,-7.465606689E0,-3.844667673E0
2.686343703E0,1.780260086E0,-7.499105930E0,-4.453042984E0
2.696318807E0,2.240280151E0,-7.834101200E0,-3.945166349E0
2.706257036E0,1.952543259E0,-7.910671711E0,-2.187039852E0
2.716195265E0,1.703689694E0,-7.513463020E0,-1.286142230E0
2.726108494E0,2.479562521E0,-7.053442955E0,-8.021938205E-1
2.736046671E0,2.618346214E0,-6.924230576E0,-6.729813814E-1
2.745984953E0,1.463809252E0,-6.880561352E0,-1.268195957E-1
2.755939484E0,4.815555513E-1,-7.637889862E0,-4.378865361E-1
2.765877713E0,-1.003190875E0,-8.510073662E0,-2.167897224E0
2.775815942E0,-2.704487801E0,-8.792427063E0,-4.079164505E0
2.785723651E0,-3.178266764E0,-8.955139160E0,-5.200201988E0
2.795661880E0,-2.632104874E0,-8.758927345E0,-4.539184570E0
2.805600161E0,-1.046261668E0,-8.365905762E0,-4.021736622E0
2.815539432E0,8.554341197E-1,-8.078767776E0,-3.466003656E0
2.825477661E0,2.297708035E0,-8.289336205E0,-3.729214191E0
2.835415942E0,2.076970100E0,-8.940781593E0,-3.945166349E0
2.845397713E0,-5.240281820E-1,-8.601000786E0,-3.792025566E0
2.855335942E0,-2.800200701E0,-7.853243828E0,-4.553541660E0
2.865274223E0,-3.058625460E0,-7.700103283E0,-4.893920422E0
2.875195109E0,-1.573280931E0,-8.040482521E0,-5.248058319E0
2.885133338E0,9.870393574E-2,-8.246265411E0,-5.238486767E0
2.895071567E0,1.082752272E-1,-7.814958572E0,-4.295116425E0
2.904979848E0,-5.868397355E-1,-7.383652687E0,-4.515256405E0
2.914918078E0,-1.698904037E-1,-7.383652687E0,-4.984847546E0
2.924856359E0,1.334596872E0,-7.709674358E0,-6.618547440E0
2.934829588E0,2.474776745E0,-8.601000786E0,-7.605587006E0
2.944767817E0,2.163709879E0,-9.305088997E0,-6.220740795E0
2.954706046E0,9.846464992E-1,-8.983852386E0,-5.118845940E0
2.964629588E0,-5.288137794E-1,-7.757531166E0,-6.378666878E0
2.974567765E0,-1.636092424E0,-6.602993965E0,-6.853044033E0
2.984506046E0,-1.727019787E0,-5.965905190E0,-6.134599209E0
2.994444744E0,-1.558923960E0,-5.726024628E0,-5.593223095E0
