"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.162689625E0,-4.997156858E-1,-1.139715195E0,-1.683440506E-1
1.172752625E0,-2.663215697E-1,-9.809793830E-1,-1.133287400E-1
1.182816625E0,-1.651651859E-1,-9.981541038E-1,-1.446363926E-1
1.192879625E0,-1.407858133E-1,-1.056153536E0,-1.691057831E-1
1.202942625E0,-1.350623667E-1,-1.079499125E0,-1.724353731E-1
1.213006625E0,-1.215609312E-1,-1.016438961E0,-1.517604589E-1
1.223069625E0,-8.138342202E-2,-8.657176495E-1,-1.306959093E-1
1.233128667E0,-1.888995618E-2,-6.571055651E-1,-1.242273599E-1
1.243192667E0,6.069352105E-2,-4.304503202E-1,-1.437865198E-1
1.253255667E0,1.332145929E-1,-2.429456562E-1,-1.819972992E-1
1.263318667E0,1.796747446E-1,-1.111246124E-1,-2.067184001E-1
1.273382667E0,1.947927177E-1,-1.076444797E-2,-1.972950697E-1
1.283445667E0,1.864613444E-1,8.611805737E-2,-1.448198706E-1
1.293508667E0,1.684328020E-1,1.810208559E-1,-8.948577195E-2
1.303572667E0,1.472036690E-1,2.528670132E-1,-4.611650854E-2
1.313635667E0,1.447748691E-1,2.930777967E-1,-2.802059427E-2
1.323698667E0,1.666974872E-1,3.216152191E-1,-5.245760456E-2
1.333762667E0,2.279336751E-1,3.714043498E-1,-9.700483084E-2
1.343825667E0,3.253054321E-1,4.576226473E-1,-1.211690828E-1
1.353888667E0,4.350471199E-1,6.149251461E-1,-7.797580212E-2
1.363952667E0,5.068182945E-1,8.228811622E-1,2.505764924E-2
1.374015667E0,5.255559683E-1,1.103030801E0,1.001276374E-1
1.384078667E0,4.695127308E-1,1.372371793E0,1.434017271E-1
1.394142667E0,3.808230758E-1,1.581935883E0,1.557931453E-1
1.404205667E0,3.078358471E-1,1.712080956E0,1.019533053E-1
1.414268667E0,2.653121054E-1,1.715991855E0,-2.047327347E-2
1.424332667E0,1.823972762E-1,1.450846910E0,-2.103923410E-1
1.434395667E0,5.566943437E-2,9.744133353E-1,-3.833385408E-1
1.444458667E0,-5.172545835E-2,4.431066811E-1,-4.319435358E-1
1.454522667E0,-1.064193249E-1,-2.266234159E-2,-3.360793293E-1
1.464585667E0,-1.790293306E-1,-4.015656710E-1,-2.025773227E-1
1.474648667E0,-3.235559165E-1,-6.388224363E-1,-1.177247539E-1
1.484712667E0,-5.040236712E-1,-6.150074601E-1,-5.313871801E-2
