"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.928757667E0,-2.733316040E0,7.924520874E-1,5.414241028E0
1.938820667E0,-2.959046631E0,7.619155884E-1,4.904101868E0
1.948883667E0,-3.363655243E0,4.779560852E-1,4.423900452E0
1.958947667E0,-3.754791870E0,7.753875732E-2,3.991150360E0
1.969010667E0,-3.947141876E0,-2.820135498E-1,3.726800079E0
1.979073667E0,-4.039200439E0,-5.054988098E-1,3.621568909E0
1.989137667E0,-4.028273163E0,-4.900808716E-1,3.676354980E0
1.999200667E0,-3.899690552E0,-1.745370483E-1,3.887416077E0
2.009263667E0,-3.737577667E0,4.170327759E-1,4.009861450E0
2.019327667E0,-3.575464783E0,1.078656921E0,4.050277405E0
2.029390667E0,-3.426075439E0,1.427731018E0,4.318968658E0
2.039454667E0,-3.407663727E0,1.263971558E0,4.984185333E0
2.049517667E0,-3.546425171E0,6.897656250E-1,5.818400574E0
2.059580667E0,-3.864813080E0,-9.580078125E-2,6.530769196E0
2.069644667E0,-4.257596283E0,-7.912545776E-1,7.094945984E0
2.079707667E0,-4.518503723E0,-1.143921204E0,7.520660706E0
2.089770667E0,-4.491709442E0,-1.002465363E0,7.810308380E0
2.099834667E0,-4.305945740E0,-4.900808716E-1,8.069269867E0
2.109897667E0,-4.268224182E0,1.225950623E-1,8.344996490E0
2.119960667E0,-4.508025513E0,5.153782654E-1,8.564589844E0
2.130024667E0,-4.786446533E0,7.179071045E-1,8.767268372E0
2.140087667E0,-4.988077240E0,7.957452393E-1,8.974886627E0
2.150150667E0,-5.170098724E0,7.461982727E-1,9.098529510E0
2.160214667E0,-5.399721222E0,5.875282288E-1,8.991502075E0
2.170277667E0,-5.693111115E0,4.360432434E-1,8.778195648E0
2.180341667E0,-5.896837463E0,3.782633972E-1,8.733738098E0
2.190404667E0,-5.939049683E0,4.179309082E-1,8.862470398E0
2.200467667E0,-5.906716919E0,4.312532043E-1,9.054521027E0
2.210531667E0,-5.838907928E0,3.224295044E-1,9.142537994E0
2.220594667E0,-5.682483215E0,1.182540894E-1,9.063801727E0
2.230657917E0,-5.416336670E0,-5.688171387E-2,8.935368805E0
2.240721917E0,-5.038672028E0,-1.335223389E-1,8.888366547E0
2.250784917E0,-4.671036530E0,-1.475930786E-1,8.920549622E0
2.260847917E0,-4.478237457E0,-1.628613281E-1,8.925489349E0
2.270911917E0,-4.493505707E0,-1.425036621E-1,8.932973785E0
2.280974917E0,-4.650379486E0,1.736389160E-2,8.983119507E0
2.291038917E0,-4.980293427E0,3.228785706E-1,9.119336243E0
2.301101917E0,-5.460345154E0,7.325765991E-1,9.348809052E0
2.311164917E0,-5.971981201E0,1.299747162E0,9.680519257E0
2.321228917E0,-6.471941528E0,1.995799713E0,1.009590546E1
2.331291917E0,-6.968908081E0,2.547402649E0,1.056532928E1
2.341354917E0,-7.414531403E0,2.818488922E0,1.104104004E1
2.351418917E0,-7.628436584E0,2.837798767E0,1.116992203E1
2.361481917E0,-7.657476196E0,2.506687317E0,1.051353699E1
2.371544917E0,-7.607180786E0,1.878294067E0,9.572743378E0
2.381608917E0,-7.491770782E0,1.532513123E0,8.964109039E0
2.391671917E0,-7.442373505E0,1.607058105E0,8.945248260E0
2.401735917E0,-7.415579224E0,1.753902740E0,9.582473145E0
2.411798917E0,-7.323071594E0,1.711989899E0,1.039513321E1
2.421861917E0,-7.118447113E0,1.478774872E0,1.131781448E1
2.431925917E0,-6.990912323E0,1.124311981E0,1.379366592E1
2.441988917E0,-6.364315338E0,1.022673340E0,1.106933121E1
2.452051917E0,-5.887556763E0,3.900888062E-1,9.783205719E0
2.462115917E0,-5.571414185E0,1.053808594E-1,1.118593872E1
2.472178917E0,-5.309907990E0,5.334906006E-1,1.090901459E1
2.482241917E0,-5.165009308E0,1.019978943E0,1.103639969E1
2.492305917E0,-5.093308411E0,1.454225922E0,1.132574799E1
2.502368917E0,-5.102289734E0,1.771266632E0,1.122036713E1
2.512432917E0,-5.143903198E0,1.805545349E0,1.102307739E1
2.522495917E0,-5.262306976E0,1.566941528E0,1.067310516E1
2.532558917E0,-5.423222351E0,1.240171051E0,1.023167313E1
2.542622917E0,-5.632187805E0,9.657916260E-1,9.910141754E0
2.552685917E0,-5.942193146E0,7.574249268E-1,9.715097351E0
2.562748917E0,-6.203849030E0,7.226971436E-1,9.632469177E0
2.572812917E0,-6.289321289E0,9.357041931E-1,9.702074432E0
2.582875917E0,-6.273903351E0,1.277742920E0,9.858648834E0
2.592938917E0,-6.238127747E0,1.586251373E0,9.923164673E0
2.603002917E0,-6.194268951E0,1.699116669E0,9.785151672E0
2.613065917E0,-6.164780273E0,1.547931061E0,9.485025787E0
2.623129917E0,-6.124663696E0,1.262624359E0,9.205856323E0
2.633192917E0,-6.104755096E0,9.671388245E-1,9.067394257E0
2.643255917E0,-6.149661713E0,7.003935242E-1,9.060658264E0
2.653319917E0,-6.190377045E0,4.948709106E-1,9.176367645E0
2.663382917E0,-6.145320740E0,4.270619202E-1,9.290131073E0
2.673445917E0,-6.033652954E0,5.498066711E-1,9.344617767E0
2.683509917E0,-5.906267853E0,8.316705322E-1,9.292226715E0
2.693572917E0,-5.791606293E0,1.111887817E0,9.170529785E0
2.703636917E0,-5.696104889E0,1.196461945E0,8.964408417E0
2.713699917E0,-5.658233643E0,1.052162018E0,8.712631989E0
2.723762917E0,-5.649102631E0,7.667056274E-1,8.533753967E0
2.733826917E0,-5.637875977E0,3.942800903E-1,8.456514587E0
2.743889917E0,-5.622008972E0,1.916015625E-2,8.341403961E0
2.753952917E0,-5.552104340E0,-2.647993469E-1,8.125403137E0
2.764016917E0,-5.407055969E0,-3.969744873E-1,7.864046631E0
2.774079917E0,-5.236710205E0,-3.538641357E-1,7.702532501E0
2.784143917E0,-5.092110901E0,-2.086660767E-1,7.659122772E0
2.794206917E0,-5.034331055E0,-8.906478882E-2,7.619604950E0
2.804269917E0,-5.065166931E0,-8.202941895E-2,7.480394440E0
